feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG4244	Mean_Temperature	Mean_Temperature	0.113398698146909	0.0356257124182139	139	137	0.0018491784845098	0.0115665972180091
COG1470	Mean_Salinity	Mean_Salinity	0.350900798324454	0.110248253946976	139	130	0.0018505552414466	0.0115722461374516
COG5441	log_PO4	log_PO4	0.388192922178441	0.121984743754627	139	139	0.00185360516079934	0.0115883524280065
COG4206	Mean_Temperature	Mean_Temperature	-0.0177138733229769	0.00556680809790461	139	139	0.00185511174539532	0.0115948043396005
COG0585	Mean_Salinity	Mean_Salinity	0.142471202341529	0.0447813879437293	139	139	0.00185848020666772	0.0116124866331189
COG2368	Mean_Temperature	Mean_Temperature	-0.0489731475822192	0.0153935207369899	139	139	0.0018588914219928	0.0116124866331189
COG1005	Mean_Temperature	Mean_Temperature	0.00968134262350991	0.00304488630278922	139	139	0.00187000144699427	0.0116789047425777
COG2018	log_depth	log_depth	1.20340430226667	0.378579928857019	139	70	0.00187482407686085	0.0117060316498503
COG0379	log_PO4	log_PO4	-0.0562476803680809	0.0176966421713486	139	139	0.00187658173778875	0.0117110204387369
COG3511	log_depth	log_depth	0.583276995575597	0.183507002853152	139	139	0.00187621203966106	0.0117110204387369
COG1826	log_PO4	log_PO4	-0.20553263113524	0.0646709624452631	139	139	0.00187843101038573	0.0117165755541854
COG5389	Absolute_Latitude	Absolute_Latitude	0.0136583846651936	0.00429755247160752	139	139	0.00187813818759826	0.0117165755541854
COG4948	size_fraction	0.22-3	0.166674286924948	0.0524466967675427	139	139	0.00187934953261415	0.0117193128588129
COG1462	Mean_Temperature	Mean_Temperature	-0.0465898948233038	0.0146651686426024	139	139	0.00188573922059895	0.0117561573456682
COG4547	Mean_Temperature	Mean_Temperature	0.0158904766438137	0.00500227220711284	139	139	0.00188727867137944	0.0117627531885568
COG3842	log_PO4	log_PO4	0.050512512915625	0.0159039896489887	139	139	0.00189065023013198	0.011780761648198
