genome_count	ncbi_bioproject
      2 PRJEB11788
      2 PRJEB11787
      2 PRJDB9773
      2 PRJDB9170
      2 PRJDB876
      2 PRJDB875
      2 PRJDB823
      2 PRJDB8208
      2 PRJDB8069
      2 PRJDB7102
      2 PRJDB6928
      2 PRJDB6851
      2 PRJDB5486
      2 PRJDB5067
      2 PRJDB4922
      2 PRJDB4308
      2 PRJDB3373
      2 PRJDB2729
      2 PRJDB11087
      2 PRJDB10155
      1 PRJNA97503
      1 PRJNA9615
      1 PRJNA9599
      1 PRJNA89653
      1 PRJNA89627
      1 PRJNA89285
      1 PRJNA89217
      1 PRJNA89207
      1 PRJNA89185
      1 PRJNA89165
      1 PRJNA89135
      1 PRJNA89133
      1 PRJNA89131
      1 PRJNA89129
      1 PRJNA88979
      1 PRJNA88485
      1 PRJNA86649
      1 PRJNA86377
      1 PRJNA86373
      1 PRJNA86353
      1 PRJNA86351
      1 PRJNA86349
      1 PRJNA86239
      1 PRJNA86147
      1 PRJNA85995
      1 PRJNA85933
      1 PRJNA85843
      1 PRJNA84387
      1 PRJNA84201
      1 PRJNA83449
      1 PRJNA83123
      1 PRJNA83041
      1 PRJNA83035
      1 PRJNA82953
      1 PRJNA82841
      1 PRJNA82339
      1 PRJNA82337
      1 PRJNA82173
      1 PRJNA82099
      1 PRJNA82097
      1 PRJNA82095
      1 PRJNA81823
      1 PRJNA81431
      1 PRJNA81127
      1 PRJNA81125
      1 PRJNA81015
      1 PRJNA80515
      1 PRJNA80233
      1 PRJNA79003
      1 PRJNA78957
      1 PRJNA78919
      1 PRJNA78659
      1 PRJNA78635
      1 PRJNA78633
      1 PRJNA78625
      1 PRJNA78623
      1 PRJNA78621
      1 PRJNA78617
      1 PRJNA78615
      1 PRJNA78613
      1 PRJNA78611
      1 PRJNA78609
      1 PRJNA78607
      1 PRJNA78603
      1 PRJNA78563
      1 PRJNA78491
      1 PRJNA78229
      1 PRJNA77845
      1 PRJNA77817
      1 PRJNA77745
      1 PRJNA77735
      1 PRJNA77705
      1 PRJNA77633
      1 PRJNA77631
      1 PRJNA77629
      1 PRJNA77227
      1 PRJNA77225
      1 PRJNA77097
      1 PRJNA77079
      1 PRJNA77069
      1 PRJNA77065
      1 PRJNA77029
      1 PRJNA77021
      1 PRJNA77019
      1 PRJNA76969
      1 PRJNA76829
      1 PRJNA76773
      1 PRJNA76615
      1 PRJNA76511
      1 PRJNA76365
      1 PRJNA74531
      1 PRJNA744688
      1 PRJNA744686
      1 PRJNA744682
      1 PRJNA744678
      1 PRJNA744659
      1 PRJNA744656
      1 PRJNA744655
      1 PRJNA744654
      1 PRJNA744653
      1 PRJNA744647
      1 PRJNA744646
      1 PRJNA744644
      1 PRJNA744642
      1 PRJNA744639
      1 PRJNA744637
      1 PRJNA744635
      1 PRJNA744633
      1 PRJNA744314
      1 PRJNA744313
      1 PRJNA744062
      1 PRJNA743983
      1 PRJNA743743
      1 PRJNA743667
      1 PRJNA743530
      1 PRJNA743523
      1 PRJNA743522
      1 PRJNA743516
      1 PRJNA743420
      1 PRJNA74337
      1 PRJNA743191
      1 PRJNA743166
      1 PRJNA742869
      1 PRJNA742819
      1 PRJNA742174
      1 PRJNA742165
      1 PRJNA742163
      1 PRJNA742162
      1 PRJNA742160
      1 PRJNA741834
      1 PRJNA741551
      1 PRJNA74155
      1 PRJNA74143
      1 PRJNA74133
      1 PRJNA741089
      1 PRJNA74107
      1 PRJNA74091
      1 PRJNA74081
      1 PRJNA74067
      1 PRJNA74065
      1 PRJNA740158
      1 PRJNA740152
      1 PRJNA740139
      1 PRJNA74009
      1 PRJNA74005
      1 PRJNA739819
      1 PRJNA739801
      1 PRJNA73961
      1 PRJNA73959
      1 PRJNA739174
      1 PRJNA73913
      1 PRJNA73903
      1 PRJNA739028
      1 PRJNA73879
      1 PRJNA738714
      1 PRJNA738712
      1 PRJNA738711
      1 PRJNA738701
      1 PRJNA738700
      1 PRJNA738698
      1 PRJNA738696
      1 PRJNA738695
      1 PRJNA738693
      1 PRJNA738688
      1 PRJNA738645
      1 PRJNA737743
      1 PRJNA737300
      1 PRJNA737299
      1 PRJNA73719
      1 PRJNA73717
      1 PRJNA736186
      1 PRJNA735899
      1 PRJNA735250
      1 PRJNA734818
      1 PRJNA734794
      1 PRJNA734513
      1 PRJNA734493
      1 PRJNA734375
      1 PRJNA734343
      1 PRJNA734098
      1 PRJNA733890
      1 PRJNA733111
      1 PRJNA733001
      1 PRJNA732388
      1 PRJNA73235
      1 PRJNA731838
      1 PRJNA731296
      1 PRJNA731154
      1 PRJNA73109
      1 PRJNA73091
      1 PRJNA730811
      1 PRJNA729212
      1 PRJNA729196
      1 PRJNA729192
      1 PRJNA729167
      1 PRJNA72897
      1 PRJNA72895
      1 PRJNA728844
      1 PRJNA728748
      1 PRJNA728370
      1 PRJNA728369
      1 PRJNA728368
      1 PRJNA728367
      1 PRJNA727664
      1 PRJNA727662
      1 PRJNA727661
      1 PRJNA727575
      1 PRJNA726854
      1 PRJNA726841
      1 PRJNA726837
      1 PRJNA72653
      1 PRJNA726027
      1 PRJNA725964
      1 PRJNA725364
      1 PRJNA724010
      1 PRJNA72395
      1 PRJNA722805
      1 PRJNA722727
      1 PRJNA72223
      1 PRJNA722198
      1 PRJNA722197
      1 PRJNA722187
      1 PRJNA722182
      1 PRJNA721789
      1 PRJNA721727
      1 PRJNA72159
      1 PRJNA721118
      1 PRJNA720826
      1 PRJNA720630
      1 PRJNA720287
      1 PRJNA720210
      1 PRJNA720092
      1 PRJNA719659
      1 PRJNA719409
      1 PRJNA719358
      1 PRJNA719260
      1 PRJNA718128
      1 PRJNA718127
      1 PRJNA718109
      1 PRJNA71795
      1 PRJNA717118
      1 PRJNA716615
      1 PRJNA716606
      1 PRJNA716240
      1 PRJNA71587
      1 PRJNA715608
      1 PRJNA714741
      1 PRJNA714484
      1 PRJNA713872
      1 PRJNA713495
      1 PRJNA71321
      1 PRJNA713129
      1 PRJNA71299
      1 PRJNA711904
      1 PRJNA709648
      1 PRJNA70851
      1 PRJNA70809
      1 PRJNA70805
      1 PRJNA707835
      1 PRJNA707663
      1 PRJNA707647
      1 PRJNA707374
      1 PRJNA707338
      1 PRJNA70725
      1 PRJNA706152
      1 PRJNA705834
      1 PRJNA705642
      1 PRJNA705561
      1 PRJNA705560
      1 PRJNA705281
      1 PRJNA704692
      1 PRJNA704691
      1 PRJNA704679
      1 PRJNA704257
      1 PRJNA703736
      1 PRJNA703412
      1 PRJNA702937
      1 PRJNA702889
      1 PRJNA702888
      1 PRJNA702887
      1 PRJNA702825
      1 PRJNA702605
      1 PRJNA702593
      1 PRJNA702506
      1 PRJNA702499
      1 PRJNA701950
      1 PRJNA701838
      1 PRJNA70153
      1 PRJNA701483
      1 PRJNA701181
      1 PRJNA701077
      1 PRJNA700450
      1 PRJNA700446
      1 PRJNA699590
      1 PRJNA699530
      1 PRJNA69911
      1 PRJNA69909
      1 PRJNA69905
      1 PRJNA698996
      1 PRJNA698925
      1 PRJNA698913
      1 PRJNA69889
      1 PRJNA69885
      1 PRJNA69881
      1 PRJNA698800
      1 PRJNA69879
      1 PRJNA69877
      1 PRJNA698767
      1 PRJNA69875
      1 PRJNA69873
      1 PRJNA69871
      1 PRJNA69867
      1 PRJNA698660
      1 PRJNA69861
      1 PRJNA69857
      1 PRJNA698280
      1 PRJNA69825
      1 PRJNA695759
      1 PRJNA695758
      1 PRJNA695733
      1 PRJNA695727
      1 PRJNA695724
      1 PRJNA695716
      1 PRJNA695699
      1 PRJNA695586
      1 PRJNA695359
      1 PRJNA694986
      1 PRJNA694517
      1 PRJNA694328
      1 PRJNA694176
      1 PRJNA693507
      1 PRJNA693408
      1 PRJNA692363
      1 PRJNA692355
      1 PRJNA692168
      1 PRJNA691755
      1 PRJNA691727
      1 PRJNA691720
      1 PRJNA690076
      1 PRJNA689949
      1 PRJNA689887
      1 PRJNA689230
      1 PRJNA68847
      1 PRJNA688464
      1 PRJNA687984
      1 PRJNA687669
      1 PRJNA687663
      1 PRJNA687651
      1 PRJNA687568
      1 PRJNA687492
      1 PRJNA687286
      1 PRJNA687125
      1 PRJNA68695
      1 PRJNA686666
      1 PRJNA686506
      1 PRJNA686267
      1 PRJNA685979
      1 PRJNA685919
      1 PRJNA68575
      1 PRJNA685606
      1 PRJNA685287
      1 PRJNA685286
      1 PRJNA685163
      1 PRJNA68497
      1 PRJNA68475
      1 PRJNA68467
      1 PRJNA68463
      1 PRJNA68459
      1 PRJNA68423
      1 PRJNA684065
      1 PRJNA684030
      1 PRJNA683782
      1 PRJNA682695
      1 PRJNA68253
      1 PRJNA682484
      1 PRJNA682307
      1 PRJNA681998
      1 PRJNA681976
      1 PRJNA681922
      1 PRJNA681856
      1 PRJNA681636
      1 PRJNA681597
      1 PRJNA681507
      1 PRJNA681468
      1 PRJNA681459
      1 PRJNA681390
      1 PRJNA681344
      1 PRJNA68129
      1 PRJNA680819
      1 PRJNA680748
      1 PRJNA680663
      1 PRJNA68063
      1 PRJNA680459
      1 PRJNA680439
      1 PRJNA680437
      1 PRJNA680355
      1 PRJNA679971
      1 PRJNA679670
      1 PRJNA679669
      1 PRJNA679668
      1 PRJNA67931
      1 PRJNA679262
      1 PRJNA679260
      1 PRJNA679251
      1 PRJNA679196
      1 PRJNA678946
      1 PRJNA678730
      1 PRJNA678728
      1 PRJNA678723
      1 PRJNA67867
      1 PRJNA67831
      1 PRJNA67829
      1 PRJNA678113
      1 PRJNA678023
      1 PRJNA678020
      1 PRJNA67613
      1 PRJNA675920
      1 PRJNA675716
      1 PRJNA675715
      1 PRJNA675551
      1 PRJNA674949
      1 PRJNA674728
      1 PRJNA67469
      1 PRJNA674463
      1 PRJNA67433
      1 PRJNA67431
      1 PRJNA67429
      1 PRJNA673892
      1 PRJNA673800
      1 PRJNA673665
      1 PRJNA673199
      1 PRJNA672862
      1 PRJNA672799
      1 PRJNA672657
      1 PRJNA672116
      1 PRJNA67195
      1 PRJNA67193
      1 PRJNA67191
      1 PRJNA67177
      1 PRJNA671654
      1 PRJNA671627
      1 PRJNA671549
      1 PRJNA67137
      1 PRJNA67135
      1 PRJNA670814
      1 PRJNA670736
      1 PRJNA670662
      1 PRJNA670381
      1 PRJNA670096
      1 PRJNA670034
      1 PRJNA669468
      1 PRJNA669443
      1 PRJNA669114
      1 PRJNA669102
      1 PRJNA66877
      1 PRJNA668699
      1 PRJNA66869
      1 PRJNA66865
      1 PRJNA66857
      1 PRJNA668445
      1 PRJNA668347
      1 PRJNA668056
      1 PRJNA668042
      1 PRJNA66771
      1 PRJNA667455
      1 PRJNA667454
      1 PRJNA667453
      1 PRJNA667449
      1 PRJNA667448
      1 PRJNA667446
      1 PRJNA666913
      1 PRJNA66691
      1 PRJNA66685
      1 PRJNA666766
      1 PRJNA66669
      1 PRJNA66665
      1 PRJNA666528
      1 PRJNA666504
      1 PRJNA666503
      1 PRJNA66587
      1 PRJNA66579
      1 PRJNA66577
      1 PRJNA665712
      1 PRJNA66571
      1 PRJNA665642
      1 PRJNA665369
      1 PRJNA66529
      1 PRJNA665234
      1 PRJNA665201
      1 PRJNA665116
      1 PRJNA664655
      1 PRJNA664598
      1 PRJNA664545
      1 PRJNA664303
      1 PRJNA66409
      1 PRJNA663981
      1 PRJNA663916
      1 PRJNA66363
      1 PRJNA66361
      1 PRJNA663209
      1 PRJNA662942
      1 PRJNA662829
      1 PRJNA662729
      1 PRJNA662701
      1 PRJNA662666
      1 PRJNA662528
      1 PRJNA662392
      1 PRJNA662186
      1 PRJNA662177
      1 PRJNA66115
      1 PRJNA660930
      1 PRJNA660609
      1 PRJNA66021
      1 PRJNA66015
      1 PRJNA660064
      1 PRJNA66005
      1 PRJNA660029
      1 PRJNA659465
      1 PRJNA659419
      1 PRJNA658164
      1 PRJNA658163
      1 PRJNA657984
      1 PRJNA657836
      1 PRJNA657563
      1 PRJNA657081
      1 PRJNA656999
      1 PRJNA656698
      1 PRJNA656651
      1 PRJNA656646
      1 PRJNA65585
      1 PRJNA655841
      1 PRJNA65581
      1 PRJNA65579
      1 PRJNA65293
      1 PRJNA65261
      1 PRJNA65255
      1 PRJNA65247
      1 PRJNA65121
      1 PRJNA65073
      1 PRJNA65067
      1 PRJNA65065
      1 PRJNA65063
      1 PRJNA65049
      1 PRJNA650043
      1 PRJNA650032
      1 PRJNA650025
      1 PRJNA649662
      1 PRJNA649451
      1 PRJNA649425
      1 PRJNA649220
      1 PRJNA649087
      1 PRJNA648758
      1 PRJNA648413
      1 PRJNA648011
      1 PRJNA647952
      1 PRJNA647679
      1 PRJNA647628
      1 PRJNA647608
      1 PRJNA647508
      1 PRJNA64729
      1 PRJNA647259
      1 PRJNA647256
      1 PRJNA64725
      1 PRJNA647162
      1 PRJNA646883
      1 PRJNA64687
      1 PRJNA64685
      1 PRJNA64683
      1 PRJNA64681
      1 PRJNA646586
      1 PRJNA646532
      1 PRJNA645934
      1 PRJNA645702
      1 PRJNA644808
      1 PRJNA64479
      1 PRJNA644349
      1 PRJNA643902
      1 PRJNA643901
      1 PRJNA643812
      1 PRJNA642652
      1 PRJNA642366
      1 PRJNA642027
      1 PRJNA64195
      1 PRJNA64185
      1 PRJNA641794
      1 PRJNA641721
      1 PRJNA64149
      1 PRJNA641103
      1 PRJNA640942
      1 PRJNA640728
      1 PRJNA64065
      1 PRJNA64063
      1 PRJNA64061
      1 PRJNA64059
      1 PRJNA64055
      1 PRJNA64053
      1 PRJNA639692
      1 PRJNA63929
      1 PRJNA638508
      1 PRJNA638476
      1 PRJNA63839
      1 PRJNA638266
      1 PRJNA638002
      1 PRJNA637996
      1 PRJNA637993
      1 PRJNA637661
      1 PRJNA63711
      1 PRJNA63699
      1 PRJNA63693
      1 PRJNA63689
      1 PRJNA63687
      1 PRJNA63681
      1 PRJNA63677
      1 PRJNA63673
      1 PRJNA636233
      1 PRJNA635998
      1 PRJNA635939
      1 PRJNA635777
      1 PRJNA635776
      1 PRJNA635758
      1 PRJNA635755
      1 PRJNA635570
      1 PRJNA635003
      1 PRJNA634799
      1 PRJNA634798
      1 PRJNA634334
      1 PRJNA634324
      1 PRJNA634160
      1 PRJNA633848
      1 PRJNA633552
      1 PRJNA633468
      1 PRJNA633452
      1 PRJNA633406
      1 PRJNA633405
      1 PRJNA633401
      1 PRJNA633240
      1 PRJNA633238
      1 PRJNA633087
      1 PRJNA632911
      1 PRJNA63271
      1 PRJNA632689
      1 PRJNA632577
      1 PRJNA632335
      1 PRJNA632314
      1 PRJNA63225
      1 PRJNA632187
      1 PRJNA63209
      1 PRJNA631923
      1 PRJNA631854
      1 PRJNA631593
      1 PRJNA630841
      1 PRJNA630778
      1 PRJNA630772
      1 PRJNA630771
      1 PRJNA630768
      1 PRJNA630367
      1 PRJNA63021
      1 PRJNA630127
      1 PRJNA62993
      1 PRJNA62907
      1 PRJNA62887
      1 PRJNA62873
      1 PRJNA62845
      1 PRJNA62841
      1 PRJNA62839
      1 PRJNA62831
      1 PRJNA62817
      1 PRJNA628144
      1 PRJNA628023
      1 PRJNA62797
      1 PRJNA627952
      1 PRJNA627862
      1 PRJNA627728
      1 PRJNA62771
      1 PRJNA62769
      1 PRJNA627293
      1 PRJNA627289
      1 PRJNA626517
      1 PRJNA625826
      1 PRJNA625318
      1 PRJNA625317
      1 PRJNA625314
      1 PRJNA62521
      1 PRJNA625114
      1 PRJNA624781
      1 PRJNA62435
      1 PRJNA62431
      1 PRJNA62429
      1 PRJNA62425
      1 PRJNA624248
      1 PRJNA62423
      1 PRJNA62419
      1 PRJNA62417
      1 PRJNA62415
      1 PRJNA62413
      1 PRJNA62411
      1 PRJNA624039
      1 PRJNA623876
      1 PRJNA623799
      1 PRJNA623675
      1 PRJNA623581
      1 PRJNA623579
      1 PRJNA62351
      1 PRJNA62347
      1 PRJNA623410
      1 PRJNA623260
      1 PRJNA62279
      1 PRJNA622569
      1 PRJNA622387
      1 PRJNA622270
      1 PRJNA621967
      1 PRJNA62139
      1 PRJNA62111
      1 PRJNA62079
      1 PRJNA616303
      1 PRJNA616299
      1 PRJNA616238
      1 PRJNA616234
      1 PRJNA616231
      1 PRJNA616228
      1 PRJNA616226
      1 PRJNA616127
      1 PRJNA616012
      1 PRJNA616007
      1 PRJNA615910
      1 PRJNA61583
      1 PRJNA615766
      1 PRJNA615343
      1 PRJNA615326
      1 PRJNA615323
      1 PRJNA614915
      1 PRJNA613979
      1 PRJNA613888
      1 PRJNA613369
      1 PRJNA613173
      1 PRJNA61285
      1 PRJNA61275
      1 PRJNA612408
      1 PRJNA612404
      1 PRJNA612145
      1 PRJNA611993
      1 PRJNA611913
      1 PRJNA61187
      1 PRJNA61185
      1 PRJNA61113
      1 PRJNA610713
      1 PRJNA610242
      1 PRJNA610165
      1 PRJNA609876
      1 PRJNA609843
      1 PRJNA609599
      1 PRJNA609074
      1 PRJNA608676
      1 PRJNA60847
      1 PRJNA608080
      1 PRJNA607885
      1 PRJNA607768
      1 PRJNA607767
      1 PRJNA607530
      1 PRJNA60741
      1 PRJNA607395
      1 PRJNA607393
      1 PRJNA60739
      1 PRJNA607372
      1 PRJNA60735
      1 PRJNA607301
      1 PRJNA607170
      1 PRJNA607152
      1 PRJNA607151
      1 PRJNA606847
      1 PRJNA606694
      1 PRJNA606416
      1 PRJNA606415
      1 PRJNA606394
      1 PRJNA606120
      1 PRJNA605948
      1 PRJNA605861
      1 PRJNA605565
      1 PRJNA605443
      1 PRJNA605358
      1 PRJNA605350
      1 PRJNA60533
      1 PRJNA605318
      1 PRJNA605314
      1 PRJNA60517
      1 PRJNA604930
      1 PRJNA604877
      1 PRJNA604569
      1 PRJNA60447
      1 PRJNA604463
      1 PRJNA60431
      1 PRJNA604100
      1 PRJNA60409
      1 PRJNA603830
      1 PRJNA603651
      1 PRJNA603546
      1 PRJNA603528
      1 PRJNA603520
      1 PRJNA603511
      1 PRJNA602584
      1 PRJNA60231
      1 PRJNA602166
      1 PRJNA601764
      1 PRJNA601602
      1 PRJNA601324
      1 PRJNA601322
      1 PRJNA601319
      1 PRJNA601081
      1 PRJNA601044
      1 PRJNA600947
      1 PRJNA600804
      1 PRJNA600387
      1 PRJNA600308
      1 PRJNA600127
      1 PRJNA600051
      1 PRJNA599487
      1 PRJNA599484
      1 PRJNA599479
      1 PRJNA59939
      1 PRJNA59937
      1 PRJNA59935
      1 PRJNA59929
      1 PRJNA59925
      1 PRJNA599248
      1 PRJNA59923
      1 PRJNA59917
      1 PRJNA59915
      1 PRJNA59911
      1 PRJNA599086
      1 PRJNA59901
      1 PRJNA598971
      1 PRJNA59875
      1 PRJNA598527
      1 PRJNA598275
      1 PRJNA598108
      1 PRJNA598064
      1 PRJNA598058
      1 PRJNA597816
      1 PRJNA597619
      1 PRJNA597473
      1 PRJNA597195
      1 PRJNA596845
      1 PRJNA596809
      1 PRJNA596668
      1 PRJNA596581
      1 PRJNA59649
      1 PRJNA596397
      1 PRJNA596374
      1 PRJNA595991
      1 PRJNA595705
      1 PRJNA595669
      1 PRJNA595503
      1 PRJNA595428
      1 PRJNA595109
      1 PRJNA595094
      1 PRJNA595041
      1 PRJNA594935
      1 PRJNA59455
      1 PRJNA594461
      1 PRJNA594426
      1 PRJNA594277
      1 PRJNA594247
      1 PRJNA594245
      1 PRJNA594244
      1 PRJNA594240
      1 PRJNA594230
      1 PRJNA593964
      1 PRJNA593811
      1 PRJNA593729
      1 PRJNA59307
      1 PRJNA592886
      1 PRJNA592752
      1 PRJNA592405
      1 PRJNA591929
      1 PRJNA591753
      1 PRJNA591745
      1 PRJNA591739
      1 PRJNA591735
      1 PRJNA591734
      1 PRJNA591731
      1 PRJNA591726
      1 PRJNA591719
      1 PRJNA591715
      1 PRJNA591713
      1 PRJNA591664
      1 PRJNA591457
      1 PRJNA591456
      1 PRJNA591451
      1 PRJNA591448
      1 PRJNA591403
      1 PRJNA591391
      1 PRJNA591307
      1 PRJNA591305
      1 PRJNA591304
      1 PRJNA591215
      1 PRJNA590370
      1 PRJNA590114
      1 PRJNA589943
      1 PRJNA589885
      1 PRJNA589867
      1 PRJNA589645
      1 PRJNA589253
      1 PRJNA589250
      1 PRJNA588974
      1 PRJNA588731
      1 PRJNA588666
      1 PRJNA588583
      1 PRJNA587889
      1 PRJNA587885
      1 PRJNA587884
      1 PRJNA587873
      1 PRJNA587652
      1 PRJNA587613
      1 PRJNA587612
      1 PRJNA587348
      1 PRJNA587063
      1 PRJNA583349
      1 PRJNA580760
      1 PRJNA580759
      1 PRJNA580673
      1 PRJNA580341
      1 PRJNA580091
      1 PRJNA580076
      1 PRJNA580059
      1 PRJNA580053
      1 PRJNA580043
      1 PRJNA579531
      1 PRJNA57945
      1 PRJNA579438
      1 PRJNA579425
      1 PRJNA579192
      1 PRJNA579067
      1 PRJNA579066
      1 PRJNA578992
      1 PRJNA578986
      1 PRJNA578625
      1 PRJNA578613
      1 PRJNA578568
      1 PRJNA578496
      1 PRJNA578487
      1 PRJNA57799
      1 PRJNA577967
      1 PRJNA57795
      1 PRJNA57781
      1 PRJNA57779
      1 PRJNA57777
      1 PRJNA577766
      1 PRJNA577568
      1 PRJNA577563
      1 PRJNA577560
      1 PRJNA577559
      1 PRJNA577288
      1 PRJNA576986
      1 PRJNA576869
      1 PRJNA57675
      1 PRJNA576563
      1 PRJNA57637
      1 PRJNA57631
      1 PRJNA576070
      1 PRJNA576038
      1 PRJNA576036
      1 PRJNA576035
      1 PRJNA576034
      1 PRJNA576030
      1 PRJNA576027
      1 PRJNA576022
      1 PRJNA575959
      1 PRJNA575951
      1 PRJNA575949
      1 PRJNA575943
      1 PRJNA57587
      1 PRJNA575799
      1 PRJNA575363
      1 PRJNA575324
      1 PRJNA574882
      1 PRJNA574881
      1 PRJNA573495
      1 PRJNA573417
      1 PRJNA572567
      1 PRJNA565795
      1 PRJNA565752
      1 PRJNA565583
      1 PRJNA564711
      1 PRJNA564704
      1 PRJNA564698
      1 PRJNA564522
      1 PRJNA564511
      1 PRJNA564491
      1 PRJNA564459
      1 PRJNA564034
      1 PRJNA564025
      1 PRJNA563568
      1 PRJNA563513
      1 PRJNA562885
      1 PRJNA562883
      1 PRJNA562864
      1 PRJNA562692
      1 PRJNA562082
      1 PRJNA562052
      1 PRJNA562037
      1 PRJNA561470
      1 PRJNA561266
      1 PRJNA56093
      1 PRJNA560798
      1 PRJNA560136
      1 PRJNA559848
      1 PRJNA559723
      1 PRJNA559576
      1 PRJNA559376
      1 PRJNA558942
      1 PRJNA558883
      1 PRJNA558864
      1 PRJNA558850
      1 PRJNA558445
      1 PRJNA558439
      1 PRJNA558165
      1 PRJNA557795
      1 PRJNA557791
      1 PRJNA557789
      1 PRJNA557771
      1 PRJNA557591
      1 PRJNA557543
      1 PRJNA556307
      1 PRJNA556101
      1 PRJNA556100
      1 PRJNA555180
      1 PRJNA555173
      1 PRJNA555170
      1 PRJNA555168
      1 PRJNA555167
      1 PRJNA555013
      1 PRJNA554996
      1 PRJNA554861
      1 PRJNA554758
      1 PRJNA554496
      1 PRJNA554385
      1 PRJNA554361
      1 PRJNA554215
      1 PRJNA554017
      1 PRJNA553998
      1 PRJNA553849
      1 PRJNA553792
      1 PRJNA553298
      1 PRJNA553268
      1 PRJNA553012
      1 PRJNA552998
      1 PRJNA552460
      1 PRJNA552188
      1 PRJNA551684
      1 PRJNA551572
      1 PRJNA551416
      1 PRJNA551352
      1 PRJNA551315
      1 PRJNA551099
      1 PRJNA550545
      1 PRJNA550434
      1 PRJNA550309
      1 PRJNA550041
      1 PRJNA549879
      1 PRJNA549840
      1 PRJNA549111
      1 PRJNA549011
      1 PRJNA548434
      1 PRJNA548371
      1 PRJNA548051
      1 PRJNA547486
      1 PRJNA547171
      1 PRJNA547170
      1 PRJNA547140
      1 PRJNA547130
      1 PRJNA546929
      1 PRJNA546911
      1 PRJNA546910
      1 PRJNA546909
      1 PRJNA546908
      1 PRJNA546906
      1 PRJNA546905
      1 PRJNA546904
      1 PRJNA546903
      1 PRJNA546902
      1 PRJNA546809
      1 PRJNA546669
      1 PRJNA545874
      1 PRJNA545524
      1 PRJNA545511
      1 PRJNA545504
      1 PRJNA545288
      1 PRJNA544996
      1 PRJNA544891
      1 PRJNA544889
      1 PRJNA544404
      1 PRJNA544312
      1 PRJNA544156
      1 PRJNA543968
      1 PRJNA543857
      1 PRJNA543692
      1 PRJNA543683
      1 PRJNA543631
      1 PRJNA543336
      1 PRJNA543187
      1 PRJNA543125
      1 PRJNA542889
      1 PRJNA542794
      1 PRJNA542657
      1 PRJNA542635
      1 PRJNA542611
      1 PRJNA542580
      1 PRJNA541795
      1 PRJNA541771
      1 PRJNA541376
      1 PRJNA540899
      1 PRJNA540773
      1 PRJNA540771
      1 PRJNA540743
      1 PRJNA540284
      1 PRJNA54027
      1 PRJNA540166
      1 PRJNA540164
      1 PRJNA539366
      1 PRJNA53839
      1 PRJNA53837
      1 PRJNA53835
      1 PRJNA53825
      1 PRJNA53813
      1 PRJNA53809
      1 PRJNA53803
      1 PRJNA53795
      1 PRJNA53793
      1 PRJNA53789
      1 PRJNA53787
      1 PRJNA53763
      1 PRJNA53729
      1 PRJNA53679
      1 PRJNA536635
      1 PRJNA536634
      1 PRJNA53647
      1 PRJNA53641
      1 PRJNA53565
      1 PRJNA534503
      1 PRJNA534500
      1 PRJNA534441
      1 PRJNA534397
      1 PRJNA534396
      1 PRJNA534379
      1 PRJNA534024
      1 PRJNA533999
      1 PRJNA53393
      1 PRJNA533345
      1 PRJNA532460
      1 PRJNA532449
      1 PRJNA532338
      1 PRJNA532297
      1 PRJNA531670
      1 PRJNA531509
      1 PRJNA531439
      1 PRJNA530714
      1 PRJNA53049
      1 PRJNA53047
      1 PRJNA530383
      1 PRJNA530183
      1 PRJNA530182
      1 PRJNA53013
      1 PRJNA530109
      1 PRJNA530090
      1 PRJNA53009
      1 PRJNA529699
      1 PRJNA529642
      1 PRJNA529587
      1 PRJNA529535
      1 PRJNA529455
      1 PRJNA529104
      1 PRJNA529056
      1 PRJNA528830
      1 PRJNA528606
      1 PRJNA52855
      1 PRJNA528533
      1 PRJNA528516
      1 PRJNA528512
      1 PRJNA528478
      1 PRJNA528369
      1 PRJNA527710
      1 PRJNA527629
      1 PRJNA527624
      1 PRJNA527621
      1 PRJNA527079
      1 PRJNA52647
      1 PRJNA52645
      1 PRJNA526196
      1 PRJNA525875
      1 PRJNA525748
      1 PRJNA525578
      1 PRJNA525156
      1 PRJNA525012
      1 PRJNA524984
      1 PRJNA524762
      1 PRJNA524752
      1 PRJNA52465
      1 PRJNA524487
      1 PRJNA524470
      1 PRJNA524328
      1 PRJNA52399
      1 PRJNA523902
      1 PRJNA523472
      1 PRJNA523454
      1 PRJNA523378
      1 PRJNA523376
      1 PRJNA523266
      1 PRJNA523052
      1 PRJNA523023
      1 PRJNA522699
      1 PRJNA521775
      1 PRJNA521729
      1 PRJNA521675
      1 PRJNA521630
      1 PRJNA521446
      1 PRJNA521444
      1 PRJNA521422
      1 PRJNA521098
      1 PRJNA521017
      1 PRJNA520996
      1 PRJNA52085
      1 PRJNA520811
      1 PRJNA520315
      1 PRJNA520311
      1 PRJNA520058
      1 PRJNA519175
      1 PRJNA518912
      1 PRJNA518726
      1 PRJNA518031
      1 PRJNA518025
      1 PRJNA517824
      1 PRJNA517648
      1 PRJNA517586
      1 PRJNA517585
      1 PRJNA517511
      1 PRJNA517467
      1 PRJNA517304
      1 PRJNA517128
      1 PRJNA516864
      1 PRJNA516034
      1 PRJNA515818
      1 PRJNA515593
      1 PRJNA515542
      1 PRJNA515345
      1 PRJNA515153
      1 PRJNA514949
      1 PRJNA514882
      1 PRJNA514442
      1 PRJNA514215
      1 PRJNA513979
      1 PRJNA513469
