genome_count	ncbi_bioproject
     10 PRJNA318731
     10 PRJNA308326
     10 PRJNA290197
     10 PRJNA264811
     10 PRJNA262859
     10 PRJNA253894
     10 PRJEB8721
     10 PRJEB39628
     10 PRJEB36085
     10 PRJEB2057
     10 PRJEB19226
      9 PRJNA689840
      9 PRJNA663662
      9 PRJNA646605
      9 PRJNA615629
      9 PRJNA604268
      9 PRJNA590717
      9 PRJNA587560
      9 PRJNA552823
      9 PRJNA552185
      9 PRJNA515295
      9 PRJNA514953
      9 PRJNA504027
      9 PRJNA495098
      9 PRJNA475886
      9 PRJNA472146
      9 PRJNA448009
      9 PRJNA420721
      9 PRJNA415995
      9 PRJNA408064
      9 PRJNA400634
      9 PRJNA383868
      9 PRJNA360036
      9 PRJNA344498
      9 PRJNA323393
      9 PRJNA291007
      9 PRJNA279271
      9 PRJNA239370
      9 PRJEB6886
      9 PRJEB43272
      9 PRJEB40715
      9 PRJEB18536
      9 PRJEB18432
      9 PRJDB6655
      8 PRJNA726559
      8 PRJNA699332
      8 PRJNA678748
      8 PRJNA670906
      8 PRJNA667178
      8 PRJNA667061
      8 PRJNA664701
      8 PRJNA635539
      8 PRJNA626537
      8 PRJNA596173
      8 PRJNA587831
      8 PRJNA548232
      8 PRJNA510422
      8 PRJNA505658
      8 PRJNA436652
      8 PRJNA436169
      8 PRJNA415343
      8 PRJNA406858
      8 PRJNA397647
      8 PRJNA390944
      8 PRJNA368737
      8 PRJNA349044
      8 PRJNA314399
      8 PRJNA314151
      8 PRJNA304333
      8 PRJNA292904
      8 PRJNA238866
      8 PRJEB42270
      8 PRJEB36951
      8 PRJEB1252
      7 PRJNA728906
      7 PRJNA719568
      7 PRJNA719325
      7 PRJNA685966
      7 PRJNA684363
      7 PRJNA644262
      7 PRJNA635673
      7 PRJNA629047
      7 PRJNA623111
      7 PRJNA615682
      7 PRJNA613356
      7 PRJNA609450
      7 PRJNA606905
      7 PRJNA598848
      7 PRJNA596894
      7 PRJNA588411
      7 PRJNA565588
      7 PRJNA564463
      7 PRJNA562728
      7 PRJNA547793
      7 PRJNA545328
      7 PRJNA528964
      7 PRJNA521345
      7 PRJNA510268
      7 PRJNA509764
      7 PRJNA508395
      7 PRJNA495396
      7 PRJNA472398
      7 PRJNA391989
      7 PRJNA374853
      7 PRJNA362975
      7 PRJNA339352
      7 PRJNA329489
      7 PRJNA312413
      7 PRJNA293241
      7 PRJNA285451
      7 PRJNA283788
      7 PRJNA262935
      7 PRJEB8702
      7 PRJEB7439
      7 PRJEB5989
      7 PRJEB32184
      7 PRJEB2393
      7 PRJEB2127
      7 PRJEB14873
      7 PRJEB10018
      6 PRJNA743805
      6 PRJNA742747
      6 PRJNA718890
      6 PRJNA693986
      6 PRJNA690827
      6 PRJNA687334
      6 PRJNA684333
      6 PRJNA684324
      6 PRJNA670497
      6 PRJNA665156
      6 PRJNA644413
      6 PRJNA635811
      6 PRJNA626549
      6 PRJNA608299
      6 PRJNA599399
      6 PRJNA596250
      6 PRJNA588964
      6 PRJNA574008
      6 PRJNA558860
      6 PRJNA542351
      6 PRJNA540158
      6 PRJNA522277
      6 PRJNA520828
      6 PRJNA516038
      6 PRJNA515489
      6 PRJNA511579
      6 PRJNA507515
      6 PRJNA506243
      6 PRJNA497734
      6 PRJNA497203
      6 PRJNA472982
      6 PRJNA471535
      6 PRJNA445564
      6 PRJNA437540
      6 PRJNA433267
      6 PRJNA430813
      6 PRJNA422745
      6 PRJNA415188
      6 PRJNA414945
      6 PRJNA404458
      6 PRJNA401434
      6 PRJNA386535
      6 PRJNA386514
      6 PRJNA378768
      6 PRJNA376086
      6 PRJNA344658
      6 PRJNA338276
      6 PRJNA325248
      6 PRJNA324718
      6 PRJNA316118
      6 PRJNA309376
      6 PRJNA308789
      6 PRJNA302718
      6 PRJNA297956
      6 PRJNA295311
      6 PRJNA294801
      6 PRJNA274731
      6 PRJNA256958
      6 PRJNA234511
      6 PRJEB38968
      6 PRJEB38840
      6 PRJEB36446
      6 PRJEB2779
      6 PRJEB2035
      6 PRJEB10932
      6 PRJDB8762
      6 PRJDB6815
      6 PRJDB4296
      5 PRJNA732612
      5 PRJNA695064
      5 PRJNA692100
      5 PRJNA673333
      5 PRJNA668870
      5 PRJNA667788
      5 PRJNA666095
      5 PRJNA657201
      5 PRJNA636088
      5 PRJNA609701
      5 PRJNA609027
      5 PRJNA607349
      5 PRJNA602167
      5 PRJNA598298
      5 PRJNA592041
      5 PRJNA588249
      5 PRJNA562886
      5 PRJNA561022
      5 PRJNA560478
      5 PRJNA527001
      5 PRJNA511649
      5 PRJNA490746
      5 PRJNA489438
      5 PRJNA484800
      5 PRJNA482303
      5 PRJNA473649
      5 PRJNA471216
      5 PRJNA46877
      5 PRJNA454794
      5 PRJNA449069
      5 PRJNA433612
      5 PRJNA418316
      5 PRJNA413893
      5 PRJNA386101
      5 PRJNA362878
      5 PRJNA357569
      5 PRJNA349211
      5 PRJNA345524
      5 PRJNA340218
      5 PRJNA322176
      5 PRJNA319486
      5 PRJNA316969
      5 PRJNA301966
      5 PRJNA299302
      5 PRJNA297679
      5 PRJNA294421
      5 PRJNA293769
      5 PRJNA293354
      5 PRJNA288141
      5 PRJNA281489
      5 PRJNA278440
      5 PRJNA243331
      5 PRJNA187034
      5 PRJNA186035
      5 PRJEB8776
      5 PRJEB6976
      5 PRJEB40874
      5 PRJEB40380
      5 PRJEB3409
      5 PRJEB32787
      5 PRJEB32716
      5 PRJEB31339
      5 PRJEB30781
      5 PRJEB23482
      5 PRJEB18465
      5 PRJEB12203
      5 PRJDB9036
      5 PRJDB7204
      4 PRJNA731639
      4 PRJNA717274
      4 PRJNA716613
      4 PRJNA704462
      4 PRJNA694019
      4 PRJNA673486
      4 PRJNA672694
      4 PRJNA670625
      4 PRJNA670125
      4 PRJNA668760
      4 PRJNA668258
      4 PRJNA667764
      4 PRJNA662907
      4 PRJNA637477
      4 PRJNA637018
      4 PRJNA636970
      4 PRJNA627194
      4 PRJNA622815
      4 PRJNA616259
      4 PRJNA616010
      4 PRJNA604195
      4 PRJNA603111
      4 PRJNA602816
      4 PRJNA597463
      4 PRJNA588281
      4 PRJNA579290
      4 PRJNA578106
      4 PRJNA575653
      4 PRJNA575111
      4 PRJNA566431
      4 PRJNA565346
      4 PRJNA565021
      4 PRJNA547835
      4 PRJNA539846
      4 PRJNA532304
      4 PRJNA524249
      4 PRJNA523639
      4 PRJNA518727
      4 PRJNA517999
      4 PRJNA517998
      4 PRJNA517269
      4 PRJNA503399
      4 PRJNA498893
      4 PRJNA494567
      4 PRJNA481030
      4 PRJNA476996
      4 PRJNA476247
      4 PRJNA475330
      4 PRJNA471730
      4 PRJNA454446
      4 PRJNA451498
      4 PRJNA437159
      4 PRJNA430989
      4 PRJNA430774
      4 PRJNA430147
      4 PRJNA412741
      4 PRJNA404457
      4 PRJNA400624
      4 PRJNA398326
      4 PRJNA396777
      4 PRJNA382326
      4 PRJNA377856
      4 PRJNA353866
      4 PRJNA351917
      4 PRJNA351909
      4 PRJNA339206
      4 PRJNA335308
      4 PRJNA329908
      4 PRJNA324769
      4 PRJNA321438
      4 PRJNA318953
      4 PRJNA312233
      4 PRJNA308180
