COG	metadata	coef	qval	polarity	correlation	corr_above_0.6
COG5394	Mean_Oxygen	-0.00940776979132639	2.1778891539808197e-11	negative	-0.2561270791647458	FALSE
COG2081	Mean_Oxygen	0.00709156630759288	3.45071026033481e-11	positive	0.5329145449889371	FALSE
COG1562	Mean_Oxygen	0.00494408869466174	3.6611585593430894e-11	positive	0.33859581110170267	FALSE
COG1415	Mean_Oxygen	-0.00833870651922574	6.03355473346705e-11	negative	-0.3821372733866976	FALSE
COG0683	Mean_Oxygen	-0.00182628207679518	7.09878237112879e-11	negative	-0.2761197551034104	FALSE
COG0558	Mean_Oxygen	-0.00121950461164686	7.954882842183489e-11	negative	-0.3839789432876628	FALSE
COG2168	Mean_Oxygen	-0.00568391334191516	1.02219105374736e-10	negative	-0.2653006050399744	FALSE
COG3651	Mean_Oxygen	0.0035835215008213	1.03204782354177e-10	positive	0.4310861958151824	FALSE
COG5660	Mean_Oxygen	-0.00666295564357952	1.13116608081445e-10	negative	-0.5382165890970847	FALSE
COG5479	Mean_Oxygen	-0.00921794720484718	2.49047290974785e-10	negative	-0.4631246844282558	FALSE
COG3046	Mean_Oxygen	0.00906061194730628	2.88827382319106e-10	positive	0.48671775272398654	FALSE
COG0535	Mean_Oxygen	-0.00497664434614358	2.9521894952906004e-10	negative	-0.5516018909241931	FALSE
COG2088	Mean_Oxygen	-0.0144267421133083	3.12369051492197e-10	negative	-0.29828401584459885	FALSE
COG1231	Mean_Oxygen	-0.00432116917373489	3.33727052820475e-10	negative	-0.415273355165469	FALSE
COG4864	Mean_Oxygen	-0.00518647770651643	3.39164848501247e-10	negative	-0.5370670999475085	FALSE
COG1647	Mean_Oxygen	-0.00760874786163656	3.52760580131065e-10	negative	-0.471820873761838	FALSE
COG4085	Mean_Oxygen	-0.0140915095609981	3.52760580131065e-10	negative	-0.5069566128711425	FALSE
COG1913	Mean_Oxygen	-0.0208618094620901	3.89490729133683e-10	negative	-0.2634170594104975	FALSE
COG2461	Mean_Oxygen	-0.0368530498264819	3.96285292000212e-10	negative	-0.499199760315775	FALSE
COG0410	Mean_Oxygen	-0.00161084018871589	4.48573329411409e-10	negative	-0.19845747339855746	FALSE
COG3770	Mean_Oxygen	0.0115480115303053	4.48573329411409e-10	positive	0.4496905594602802	FALSE
COG1030	Mean_Oxygen	-0.0052767250060548	5.10861398173803e-10	negative	-0.5634371469325642	FALSE
COG1274	Mean_Oxygen	-0.0077399726097717	5.12636349070465e-10	negative	-0.4635211961654582	FALSE
COG3961	Mean_Oxygen	-0.016816839115834	5.46538686972895e-10	negative	-0.22166621396234398	FALSE
COG4647	Mean_Oxygen	-0.0160321480760729	6.01748287665052e-10	negative	-0.3754846152453235	FALSE
COG4231	Mean_Oxygen	-0.00398550072776283	6.86217950905084e-10	negative	-0.3779343201966925	FALSE
COG0493	Mean_Oxygen	-0.00273613545799102	7.56484138226052e-10	negative	0.19422368676100019	FALSE
COG1055	Mean_Oxygen	-0.00230731593121084	9.50442446566185e-10	negative	-0.3279603350302486	FALSE
COG5013	Mean_Oxygen	-0.0291364280348615	9.700830147122602e-10	negative	-0.39466079714275776	FALSE
COG2170	Mean_Oxygen	-0.00628085564218134	9.86425832878964e-10	negative	-0.6010946661823301	TRUE
COG1054	Mean_Oxygen	0.00324329580325584	1.0008177484281302e-9	positive	0.36563130047583375	FALSE
COG3502	Mean_Oxygen	0.00664784558297206	1.21990778407469e-9	positive	0.6398637025026658	TRUE
COG4912	Mean_Oxygen	-0.0108037045499124	1.7276234459236202e-9	negative	-0.540507315406469	FALSE
COG4223	Mean_Oxygen	0.0107847193165914	1.88143951414933e-9	positive	0.41653850375378376	FALSE
COG0415	Mean_Oxygen	0.00814525700199365	2.0560486415237303e-9	positive	0.2737780679650279	FALSE
COG0823	Mean_Oxygen	-0.00187912566414013	2.0560486415237303e-9	negative	-0.2855612572816029	FALSE
COG1448	Mean_Oxygen	0.00553900027008652	2.63145324810815e-9	positive	0.4184576696033182	FALSE
COG2110	Mean_Oxygen	-0.00669462815562509	2.6432717300476404e-9	negative	-0.6522563055424921	TRUE
COG0243	Mean_Oxygen	-0.00402741211362901	2.70938547173698e-9	negative	-0.2758847593882943	FALSE
COG2267	Mean_Oxygen	0.00385878695414562	2.7955071754768902e-9	positive	0.36337667869246176	FALSE
COG2154	Mean_Oxygen	0.00137070151212746	3.1492574911775103e-9	positive	0.4715877209985615	FALSE
COG3155	Mean_Oxygen	-0.00751004847715645	3.1492574911775103e-9	negative	-0.5728841744603159	FALSE
COG2362	Mean_Oxygen	-0.00774203298273553	3.24805022083878e-9	negative	-0.5735378700183477	FALSE
COG5458	Mean_Oxygen	0.005546578188268	3.945422260680911e-9	positive	0.43039363000772013	FALSE
COG2335	Mean_Oxygen	0.0067335566107858	4.00781361037871e-9	positive	0.6057612727905998	TRUE
COG1959	Mean_Oxygen	-0.00240978816019041	4.344670700275881e-9	negative	-0.06524622274818662	FALSE
COG4591	Mean_Oxygen	-0.00182473321360843	4.59077098523955e-9	negative	-0.1395568296589506	FALSE
COG3090	Mean_Oxygen	0.00403596904755554	4.686523052551871e-9	positive	0.621212063247237	TRUE
COG3005	Mean_Oxygen	-0.0204802625199588	4.737537536933071e-9	negative	-0.4327172608858635	FALSE
COG1835	Mean_Oxygen	0.00326677647712426	5.0839381397351e-9	positive	0.4239505105421043	FALSE
COG1485	Mean_Oxygen	0.00522349247473308	5.4224372358069e-9	positive	0.5393596006977389	FALSE
COG2802	Mean_Oxygen	0.00228502917453963	5.9062983528675e-9	positive	0.3723436814560145	FALSE
COG1726	Mean_Oxygen	0.004262104164848	6.678952016370411e-9	positive	0.5781778626241204	FALSE
COG3971	Mean_Oxygen	0.0030557783227544502	6.84828216202969e-9	positive	0.6600932453249814	TRUE
COG1426	Mean_Oxygen	-0.00437135904118303	7.377927461643181e-9	negative	-0.39954957495511895	FALSE
COG2048	Mean_Oxygen	-0.00849862215096459	7.54779499352456e-9	negative	-0.4421787446256934	FALSE
COG1022	Mean_Oxygen	-0.00152967559114888	8.07017661404709e-9	negative	-0.23409269442262373	FALSE
COG0838	Mean_Oxygen	-0.00161502124744849	9.902372781832911e-9	negative	-0.3306744609250464	FALSE
COG4121	Mean_Oxygen	0.00573413611143709	1.12799448210264e-8	positive	0.426347415349772	FALSE
COG5447	Mean_Oxygen	0.00790147713693278	1.23623831023778e-8	positive	0.44863839149655416	FALSE
COG1032	Mean_Oxygen	-0.006326028429381	1.27648739711767e-8	negative	-0.5205874251435917	FALSE
COG2014	Mean_Oxygen	-0.0097568132975	1.31793859271896e-8	negative	-0.37987436147424475	FALSE
COG0826	Mean_Oxygen	-0.0109084350712446	1.57618581857458e-8	negative	-0.4882499069135807	FALSE
COG0828	Mean_Oxygen	0.00245172724511899	1.5854306688496e-8	positive	0.5529172320217096	FALSE
COG4287	Mean_Oxygen	-0.0057123539406595	1.66779971112449e-8	negative	-0.3829646142287545	FALSE
COG2768	Mean_Oxygen	-0.0132131170272025	1.80807642052445e-8	negative	-0.35717239200656303	FALSE
COG2403	Mean_Oxygen	-0.0208803501593382	1.90313746710232e-8	negative	-0.5685810319089935	FALSE
COG0859	Mean_Oxygen	-0.00181965176804683	1.94194750729516e-8	negative	-0.16604605135634198	FALSE
COG3380	Mean_Oxygen	0.00911461545597722	1.95944675494894e-8	positive	0.39059487252731556	FALSE
COG2181	Mean_Oxygen	-0.0142295324340114	1.96577427444005e-8	negative	-0.11550718668786007	FALSE
COG3857	Mean_Oxygen	-0.012586270170542	1.96910709117377e-8	negative	-0.47900407073907814	FALSE
COG1515	Mean_Oxygen	-0.0104112163309634	2.07661283361461e-8	negative	-0.6349272339410755	TRUE
COG0685	Mean_Oxygen	-0.00142972895190703	2.15999604258136e-8	negative	-0.19529488578977974	FALSE
COG1576	Mean_Oxygen	0.0025282145123066	2.39454642280115e-8	positive	0.4915681333591781	FALSE
COG1914	Mean_Oxygen	0.00452224192327807	2.49729333747345e-8	positive	0.2618829917608966	FALSE
COG2849	Mean_Oxygen	-0.0034383331171719	2.63149490850837e-8	negative	-0.45066363330306763	FALSE
COG0239	Mean_Oxygen	0.00288917212938701	2.71623258331545e-8	positive	0.410756437126653	FALSE
COG4747	Mean_Oxygen	-0.00732721072373197	2.7620421765867e-8	negative	-0.2600579476837238	FALSE
COG3752	Mean_Oxygen	0.00512398577704186	2.82946714588726e-8	positive	0.47230695463217065	FALSE
COG1314	Mean_Oxygen	0.00604472107316429	3.01380837766742e-8	positive	0.4475076614575947	FALSE
COG4623	Mean_Oxygen	0.00402019811409879	3.04940100078654e-8	positive	0.4093528025053491	FALSE
COG2249	Mean_Oxygen	0.00425341342560391	3.10998515531616e-8	positive	0.5289529794635843	FALSE
COG3816	Mean_Oxygen	0.00338834372834922	3.58079076567737e-8	positive	0.4887166460140811	FALSE
COG4284	Mean_Oxygen	-0.0112739100231924	3.90047364552061e-8	negative	-0.316700269472589	FALSE
COG1805	Mean_Oxygen	0.00404477716412738	4.0513164023781e-8	positive	0.5804164413748074	FALSE
COG3040	Mean_Oxygen	0.00541161103446704	4.28357142051377e-8	positive	0.398449266569832	FALSE
COG3664	Mean_Oxygen	-0.00562985427012186	4.30402162791322e-8	negative	-0.20587605169809958	FALSE
COG1363	Mean_Oxygen	0.00388953482045349	4.67713539818193e-8	positive	0.550631119606203	FALSE
COG4558	Mean_Oxygen	0.0107743352795737	4.79645092004745e-8	positive	0.08586480106989072	FALSE
COG2869	Mean_Oxygen	0.0040574146801852	5.10094262925332e-8	positive	0.5774433252105332	FALSE
COG4992	Mean_Oxygen	0.00138772967619301	5.10094262925332e-8	positive	0.5340233215331408	FALSE
COG2414	Mean_Oxygen	-0.00951044498877008	6.55861928787321e-8	negative	-0.4251276852737169	FALSE
COG0508	Mean_Oxygen	0.00160457363255833	6.66932351848349e-8	positive	0.5500709031738097	FALSE
COG3580	Mean_Oxygen	-0.0219454387982235	6.72182748404275e-8	negative	-0.47422696104880846	FALSE
COG0574	Mean_Oxygen	-0.00149684021130435	6.94839017551281e-8	negative	-0.4184460472755838	FALSE
COG3782	Mean_Oxygen	0.00780728423049947	7.06770109845848e-8	positive	0.14955640374939808	FALSE
COG1144	Mean_Oxygen	-0.0268362695252096	7.82287694791193e-8	negative	-0.38874614896885223	FALSE
COG2316	Mean_Oxygen	-0.0088780985446442	7.84370966897114e-8	negative	-0.5115365045381561	FALSE
COG0411	Mean_Oxygen	-0.00141499509942388	9.15691021318638e-8	negative	-0.23115964946287018	FALSE
COG3750	Mean_Oxygen	0.00666252546257572	9.17471482821022e-8	positive	0.37340189372178595	FALSE
COG2006	Mean_Oxygen	-0.0126679810724299	9.22634737659385e-8	negative	-0.4628084208276087	FALSE
COG3825	Mean_Oxygen	0.0027358331225516	9.37828475552891e-8	positive	0.49650074983932013	FALSE
COG2518	Mean_Oxygen	-0.0024198042169716	9.91207685749456e-8	negative	-0.134481386641638	FALSE
COG1783	Mean_Oxygen	0.0125163414783955	1.04916533484733e-7	positive	0.4338660909616649	FALSE
COG3360	Mean_Oxygen	-0.0161751436345318	1.07348147608551e-7	negative	-0.5794669979077045	FALSE
COG0607	Mean_Oxygen	0.00111417905972185	1.12497151729567e-7	positive	0.5746523704104223	FALSE
COG1993	Mean_Oxygen	-0.015937400185326	1.24097325423034e-7	negative	-0.2885919632779582	FALSE
COG3581	Mean_Oxygen	-0.0200150565164857	1.43597681113958e-7	negative	-0.47272275935169994	FALSE
COG0839	Mean_Oxygen	-0.00114010389809522	1.49560841031348e-7	negative	-0.28231705450872774	FALSE
COG4995	Mean_Oxygen	-0.00457858615176674	1.49926226762768e-7	negative	-0.5474374457581611	FALSE
COG0247	Mean_Oxygen	-0.0028227257774142	1.56967000514875e-7	negative	-0.2515226329051938	FALSE
COG0376	Mean_Oxygen	0.00398212127050291	1.5991417034173e-7	positive	0.4283826935044531	FALSE
COG3104	Mean_Oxygen	0.00338476881980654	1.60292258070555e-7	positive	0.5634251843992614	FALSE
COG4635	Mean_Oxygen	0.0142204504897346	1.60292258070555e-7	positive	0.34900907082527916	FALSE
COG3256	Mean_Oxygen	-0.0131154520799073	1.75206879688501e-7	negative	-0.40096256114911333	FALSE
COG0246	Mean_Oxygen	0.00383136632558879	1.79810901103283e-7	positive	0.37827580669217153	FALSE
COG5328	Mean_Oxygen	0.0053501998528474	1.81019859767258e-7	positive	0.4535782195526412	FALSE
COG1924	Mean_Oxygen	-0.0302103101264183	1.87232203811579e-7	negative	-0.569721027503501	FALSE
COG0265	Mean_Oxygen	-0.0010150847259699	1.93725691291073e-7	negative	-0.21105171340835124	FALSE
COG3724	Mean_Oxygen	0.00537774778021159	1.93906294234274e-7	positive	0.20488380942267342	FALSE
COG3044	Mean_Oxygen	-0.0117135524518707	1.9611601534042e-7	negative	-0.5219885253207059	FALSE
COG0054	Mean_Oxygen	9.7982977214741e-4	2.22700434617158e-7	positive	0.3983687169076014	FALSE
COG2904	Mean_Oxygen	0.00449710438893684	2.24055851289768e-7	positive	0.46729238933262246	FALSE
COG3734	Mean_Oxygen	0.0044256351682048	2.24336769698205e-7	positive	0.4171989917906466	FALSE
COG1195	Mean_Oxygen	0.00171711923048868	2.24742884785624e-7	positive	0.3261086909947868	FALSE
COG2303	Mean_Oxygen	0.00121188968198336	2.45206237541198e-7	positive	0.5912508544087491	FALSE
COG1350	Mean_Oxygen	-0.00429189848872951	2.51749733604725e-7	negative	-0.41666996104441173	FALSE
COG0694	Mean_Oxygen	0.00137533567379825	2.55678531730639e-7	positive	0.47145509635690314	FALSE
COG3243	Mean_Oxygen	-0.00759703923355682	2.7643712101225e-7	negative	-0.4596830450664511	FALSE
COG0437	Mean_Oxygen	-0.00322630579860692	2.94173127425622e-7	negative	-0.14309688740167922	FALSE
COG1005	Mean_Oxygen	-0.00125096778131883	2.94173127425622e-7	negative	-0.4885687760785954	FALSE
COG3303	Mean_Oxygen	-0.0254945840420998	3.04566228510751e-7	negative	-0.26381992946635735	FALSE
COG5011	Mean_Oxygen	-0.0117543155285914	3.24288679588352e-7	negative	-0.163944210167924	FALSE
COG1928	Mean_Oxygen	-0.0056502494624097	3.25246905960592e-7	negative	-0.2617281998632839	FALSE
COG3241	Mean_Oxygen	0.00517921396505583	3.3826685538062e-7	positive	0.5208159580508119	FALSE
COG4177	Mean_Oxygen	-0.00122962059510206	3.3885254848624e-7	negative	-0.0786005039736383	FALSE
COG2516	Mean_Oxygen	-0.0138121656154264	3.41859412585368e-7	negative	-0.4544749681958986	FALSE
COG0377	Mean_Oxygen	-0.00142405025040635	3.60064811966363e-7	negative	-0.5123544954652574	FALSE
COG3812	Mean_Oxygen	0.00647034260584372	3.7161280197871e-7	positive	0.23945785070666098	FALSE
COG4559	Mean_Oxygen	0.00968864014035582	3.82113295475028e-7	positive	0.18019977989636396	FALSE
COG1070	Mean_Oxygen	0.00292107521866195	4.15013599130458e-7	positive	0.31920200773303675	FALSE
COG1148	Mean_Oxygen	-0.0125014142207761	4.40248792328223e-7	negative	-0.5145233611021363	FALSE
COG1533	Mean_Oxygen	-0.0032083341603414	4.5287899652927e-7	negative	-0.6568506427601569	TRUE
COG3688	Mean_Oxygen	-0.00755149663946385	4.55779924082067e-7	negative	-0.16102185582382725	FALSE
COG1140	Mean_Oxygen	-0.0245610628528431	4.93755068410994e-7	negative	-0.46780742612815984	FALSE
COG3302	Mean_Oxygen	0.00959414152928419	5.06421156360458e-7	positive	0.6008327436090383	TRUE
COG1994	Mean_Oxygen	-0.00300532345349248	5.19799601075622e-7	negative	-0.5665163587394537	FALSE
COG0408	Mean_Oxygen	0.00266297575864304	5.72028228653834e-7	positive	0.3382081390722396	FALSE
COG2072	Mean_Oxygen	0.00200332504947492	5.79654816931042e-7	positive	0.5301517021862662	FALSE
COG1182	Mean_Oxygen	0.00585945502139232	5.85650082146179e-7	positive	0.49104081146020306	FALSE
COG1369	Mean_Oxygen	-0.0233876775318386	5.86548641187039e-7	negative	-0.35834785315679923	FALSE
COG0026	Mean_Oxygen	0.00246376860840256	5.87181960883138e-7	positive	0.35565848134583405	FALSE
COG2816	Mean_Oxygen	0.00216085846357314	6.05779440053761e-7	positive	0.37090200519761674	FALSE
COG0062	Mean_Oxygen	-0.00276553079498698	6.44128936061783e-7	negative	-0.6330276165311515	TRUE
COG3301	Mean_Oxygen	-0.0186594146608873	6.47884536366056e-7	negative	-0.22595442969906168	FALSE
COG0625	Mean_Oxygen	0.00168398178020392	6.65256822799744e-7	positive	0.4525713877638465	FALSE
COG0053	Mean_Oxygen	-0.00431312825671348	6.94027034734766e-7	negative	-0.44489531501170976	FALSE
COG0654	Mean_Oxygen	0.00174649678318855	7.07237968265297e-7	positive	0.6204231746258454	TRUE
COG3183	Mean_Oxygen	-0.00507268006364111	7.12233287431945e-7	negative	-0.3060892143073589	FALSE
COG0063	Mean_Oxygen	-0.00239426807157637	7.1747478701587e-7	negative	-0.6623121575988818	TRUE
COG1388	Mean_Oxygen	-0.00413688337759473	7.34847306821952e-7	negative	-0.4021669407816241	FALSE
COG3727	Mean_Oxygen	-0.00439579214554905	7.42855191945001e-7	negative	-0.6171278018811863	TRUE
COG4321	Mean_Oxygen	0.00469923231258241	7.44415325857043e-7	positive	0.5305331782805831	FALSE
COG5316	Mean_Oxygen	-0.00481398471444467	7.54205109455371e-7	negative	-0.49935279687378986	FALSE
COG1151	Mean_Oxygen	-0.0286278308280219	7.5516668068495e-7	negative	-0.27516827875616956	FALSE
COG3201	Mean_Oxygen	0.00452345224942219	7.59915880709163e-7	positive	0.6377729035222738	TRUE
COG3150	Mean_Oxygen	0.00673011645348236	7.600181894684e-7	positive	0.4564488279518979	FALSE
COG1127	Mean_Oxygen	0.00298562307983378	7.95501716544431e-7	positive	0.2750073963742463	FALSE
COG1874	Mean_Oxygen	0.00741788095182681	8.70268621306252e-7	positive	0.40945586815809426	FALSE
COG0005	Mean_Oxygen	-0.00139559819236088	9.04327708383317e-7	negative	-0.6416788239254854	TRUE
COG2180	Mean_Oxygen	-0.0245612760359523	9.05030789864512e-7	negative	-0.4924196056031502	FALSE
COG1286	Mean_Oxygen	0.00357965023772984	9.55420364557274e-7	positive	0.5658297956697992	FALSE
COG1988	Mean_Oxygen	0.00386516132434561	9.57863188622167e-7	positive	0.6200954670162215	TRUE
COG0276	Mean_Oxygen	0.00212275426913599	1.05987279075574e-6	positive	0.38543271339814933	FALSE
COG3340	Mean_Oxygen	0.00425152967455536	1.06149282103661e-6	positive	0.48449883762044166	FALSE
COG0220	Mean_Oxygen	0.00163851888755688	1.06492094266519e-6	positive	0.527891982330317	FALSE
COG2941	Mean_Oxygen	0.00282654520226386	1.07440152753197e-6	positive	0.5234082492527111	FALSE
COG2761	Mean_Oxygen	0.00359776794078236	1.13387831122194e-6	positive	0.3872332665608715	FALSE
COG2957	Mean_Oxygen	-0.00357012286672088	1.13897800280406e-6	negative	-0.013910302269808434	FALSE
COG0289	Mean_Oxygen	0.00134130668845465	1.16354816690876e-6	positive	0.38773324083614735	FALSE
COG3146	Mean_Oxygen	0.00356964998731177	1.1925987709409e-6	positive	0.2634996582365003	FALSE
COG0713	Mean_Oxygen	-0.00112574981705836	1.21063157993332e-6	negative	-0.5010405933422429	FALSE
COG2810	Mean_Oxygen	-0.010935624881002	1.26312849711588e-6	negative	-0.46211107934781354	FALSE
COG3067	Mean_Oxygen	0.00601301987735305	1.30207963801981e-6	positive	0.46690590420523814	FALSE
COG3123	Mean_Oxygen	0.00897868512933716	1.34599829227757e-6	positive	0.36402798435701983	FALSE
COG1649	Mean_Oxygen	-0.00438179795296764	1.39278093927755e-6	negative	-0.3917312793511346	FALSE
COG0852	Mean_Oxygen	-0.00132090361232737	1.39296115251338e-6	negative	-0.40183226043398856	FALSE
COG3869	Mean_Oxygen	-0.00621363641520334	1.44849201574816e-6	negative	-0.2775945664237311	FALSE
COG4632	Mean_Oxygen	-0.00522721971026169	1.49112823111397e-6	negative	-0.611591811393874	TRUE
COG4323	Mean_Oxygen	0.00405444165371783	1.5434837830158e-6	positive	0.3800707514690985	FALSE
COG1678	Mean_Oxygen	-0.00198421243902497	1.54436929984247e-6	negative	-0.33522408463492515	FALSE
COG1313	Mean_Oxygen	-0.0181573018322033	1.57383520680242e-6	negative	-0.40766271052476116	FALSE
COG1347	Mean_Oxygen	0.00335154582089424	1.62124929656416e-6	positive	0.565378847389845	FALSE
COG3313	Mean_Oxygen	0.00486456826862378	1.62124929656416e-6	positive	0.37038180055822983	FALSE
COG0748	Mean_Oxygen	0.00503322873334335	1.69215383103917e-6	positive	0.08910194119766855	FALSE
COG3880	Mean_Oxygen	-0.00645546820332345	1.69275630902866e-6	negative	-0.29111702839184256	FALSE
COG2451	Mean_Oxygen	-0.0182678250989262	1.74451132565514e-6	negative	-0.46969393366001716	FALSE
COG4952	Mean_Oxygen	0.00487625522897303	1.79518354611277e-6	positive	0.40916910565397374	FALSE
COG5423	Mean_Oxygen	-0.0205847782836053	1.81669959357121e-6	negative	-0.3469325388792162	FALSE
COG1666	Mean_Oxygen	0.00161693020513454	1.87998238273455e-6	positive	0.3473643402944267	FALSE
COG0723	Mean_Oxygen	-0.00109362283415554	1.88493133104541e-6	negative	-0.13185949949500617	FALSE
COG2855	Mean_Oxygen	0.00478178255960026	1.97265874561483e-6	positive	0.5243111170055397	FALSE
COG0664	Mean_Oxygen	-0.00283996506781515	2.01045456006032e-6	negative	-0.6187653666051152	TRUE
COG1049	Mean_Oxygen	0.00510638038799481	2.01052526132808e-6	positive	0.3588771793799288	FALSE
COG3024	Mean_Oxygen	0.00468286855205382	2.11612641493758e-6	positive	0.4079296560426946	FALSE
COG5515	Mean_Oxygen	0.00805384397632955	2.12629448261027e-6	positive	0.46346527106724894	FALSE
COG3555	Mean_Oxygen	0.00650628923097292	2.2388699705298e-6	positive	0.30939330799647335	FALSE
COG4421	Mean_Oxygen	-0.002510563418633	2.34980029771107e-6	negative	-0.21643983768222916	FALSE
COG0463	Mean_Oxygen	-0.00131545780617566	2.43114809352835e-6	negative	-0.48224360086103996	FALSE
COG3676	Mean_Oxygen	-0.0163929447414103	2.43801265876607e-6	negative	-0.22385282726784309	FALSE
COG5387	Mean_Oxygen	0.00476699916070422	2.53931089268052e-6	positive	0.33849402942327134	FALSE
COG1242	Mean_Oxygen	-0.00634441140146151	2.79423100431531e-6	negative	-0.41566484016037336	FALSE
COG1214	Mean_Oxygen	-0.00115895110299649	2.80577234692882e-6	negative	-0.2687689372685445	FALSE
COG0507	Mean_Oxygen	0.00255487090082083	2.92980463867011e-6	positive	0.3363054855592169	FALSE
COG0435	Mean_Oxygen	0.0039981471960329	3.0265717540769e-6	positive	0.28320387471037833	FALSE
COG3359	Mean_Oxygen	-0.00766725107408061	3.02661315020567e-6	negative	-0.32398482956216523	FALSE
COG0261	Mean_Oxygen	0.00132286563888932	3.06796036564719e-6	positive	0.36689586925250706	FALSE
COG0321	Mean_Oxygen	0.00143573546227072	3.10340146399102e-6	positive	0.3039195682557819	FALSE
COG5265	Mean_Oxygen	0.00392729254489374	3.15444066663185e-6	positive	0.5132704542138876	FALSE
COG1662	Mean_Oxygen	-0.0133125627783889	3.26362953509435e-6	negative	-0.2963517463708886	FALSE
COG1705	Mean_Oxygen	0.00545680335241794	3.2693580309433e-6	positive	0.5545652443841467	FALSE
COG1591	Mean_Oxygen	-0.014349637137279	3.34207002873986e-6	negative	-0.5378419722307561	FALSE
COG0517	Mean_Oxygen	-0.00140819918757351	3.35744996926607e-6	negative	-0.07500433580559267	FALSE
COG3145	Mean_Oxygen	0.00341154306291375	3.43130890031737e-6	positive	0.342440824748651	FALSE
COG0414	Mean_Oxygen	0.00186473720031742	3.64360133936368e-6	positive	0.2951408371675457	FALSE
COG3000	Mean_Oxygen	0.00225905006079645	3.64444098985033e-6	positive	0.5766264371920302	FALSE
COG4569	Mean_Oxygen	0.00544569458001524	3.72470150268484e-6	positive	0.2947117123404833	FALSE
COG3659	Mean_Oxygen	-0.00859671228401113	3.73600056595899e-6	negative	-0.45573943173455606	FALSE
COG1840	Mean_Oxygen	0.00181755261146581	3.84999666116097e-6	positive	0.3451505289682823	FALSE
COG2375	Mean_Oxygen	0.00679922171715012	3.85638174193148e-6	positive	-0.08852530096359483	FALSE
COG3453	Mean_Oxygen	0.00529755992960872	3.8794721584312e-6	positive	0.27859268977669116	FALSE
COG0277	Mean_Oxygen	-9.2718106836143e-4	4.04925593577188e-6	negative	-0.354230215974128	FALSE
COG0692	Mean_Oxygen	0.00365469456012272	4.0953052345001e-6	positive	0.5185024599400158	FALSE
COG2153	Mean_Oxygen	0.0040041443415721	4.10884003333553e-6	positive	0.5797519138358243	FALSE
COG0357	Mean_Oxygen	0.0013465834850142	4.20344911414101e-6	positive	0.4855388131114761	FALSE
COG0140	Mean_Oxygen	0.00157309087648606	4.55845094048356e-6	positive	0.46429846665510444	FALSE
COG0241	Mean_Oxygen	-0.00164791686626913	4.85321873094093e-6	negative	-0.25454016810215463	FALSE
COG3367	Mean_Oxygen	-0.00236792870586617	4.90516868714646e-6	negative	-0.27653434299298496	FALSE
