COG	metadata	coef	qval	polarity	correlation	corr_above_0.6
COG1856	Mean_Oxygen	-0.0192769967331038	1.8710838543881703e-15	negative	-0.4753809033849137	FALSE
COG1150	Mean_Oxygen	-0.0215161902571978	2.12718275387965e-15	negative	-0.45645103695685807	FALSE
COG2044	Mean_Oxygen	-0.0194752947341936	2.8253261503714e-15	negative	-0.4628608720131355	FALSE
COG1833	Mean_Oxygen	-0.0176061115480533	3.82384489534248e-15	negative	-0.5909672320799586	FALSE
COG0397	Mean_Oxygen	0.00395786226980899	1.23566644445327e-14	positive	0.508391059058773	FALSE
COG2223	Mean_Oxygen	-0.0162720355693569	1.76142037600353e-14	negative	-0.4633799224889175	FALSE
COG3476	Mean_Oxygen	0.00745217780310957	5.08355180051651e-13	positive	0.5368958397896652	FALSE
COG3640	Mean_Oxygen	-0.0194930108202299	6.34694081248073e-13	negative	-0.48693061758390616	FALSE
COG2221	Mean_Oxygen	-0.00769404128799111	1.2783735561506298e-12	negative	-0.217633495990446	FALSE
COG0614	Mean_Oxygen	0.00402471470618574	1.33681269981478e-12	positive	-0.06640923883657583	FALSE
COG2121	Mean_Oxygen	-0.00460452870132762	1.33681269981478e-12	negative	-0.4095317404010556	FALSE
COG5014	Mean_Oxygen	-0.00905013151351001	1.33681269981478e-12	negative	-0.4170632673831684	FALSE
COG4249	Mean_Oxygen	-0.0061285562509805	1.53247036036908e-12	negative	-0.298766701085434	FALSE
COG0386	Mean_Oxygen	0.00315962589030308	1.5996951753135998e-12	positive	0.5104263372134543	FALSE
COG0389	Mean_Oxygen	0.00127621973798087	1.6876271339730001e-12	positive	0.552116383224003	FALSE
COG3261	Mean_Oxygen	-0.0425831619971811	2.0846043605121e-12	negative	-0.418920706338873	FALSE
COG2907	Mean_Oxygen	0.00637891426510712	2.83590608198662e-12	positive	0.5963007926872813	FALSE
COG1014	Mean_Oxygen	-0.00627569803992902	3.01231891968053e-12	negative	-0.4965109517348323	FALSE
COG3481	Mean_Oxygen	-0.00742218517883077	4.07238931822062e-12	negative	-0.5367539506635027	FALSE
COG3496	Mean_Oxygen	0.00711852092703182	5.02939785763714e-12	positive	0.5700717193254506	FALSE
COG0432	Mean_Oxygen	-0.0022720571369613	5.66278247810137e-12	negative	-0.4385743871211271	FALSE
COG1013	Mean_Oxygen	-0.00687886484328774	1.0581674524584399e-11	negative	-0.5246885871394905	FALSE
COG0596	Mean_Oxygen	0.00105267840316199	1.19786999244492e-11	positive	0.5454647473500577	FALSE
COG0674	Mean_Oxygen	-0.00678712933536693	2.10754590986953e-11	negative	-0.5160679854316932	FALSE
