SRA_Accession,Sample,Omega_P_High,Omega_P_Med,Omega_P_Low,Omega_N_High,Omega_N_Med,Omega_N_Low,Omega_Fe_High,Omega_Fe_Med,Omega_Fe_Low,Theta,Pro_SCCG,cirA,expD,febB,fepB,fepC,tolQ,tonB,crp1390,PMM0804,isiA,dpsA,fur,futA,futB,futC,isiB,focA,moaA,moaB,moaD,moaE,moeA,narB,moaC,mobA,napA,tauE,cynA,cynS,nirA,unkN1,unkN2,ureA,ureB,ureC,ureD,ureE,ureF,ureG,urtA,dadA,amt1,carA,carB,gdhA,glnA,glnB,glsF,nadB,ntcA,pipX,speA,speB,amtB,thiO,phoA,phoX,PMM707,PMM721,acr3,arsR,chrA,gap1,mfs,phoB,phoE,phoR,ptrA,unkP1,unkP2,unkP3,unkP4,unkP5,PMM719,PMM722,phnD,ppA,ppK,ppX,pstA,pstB,pstC,pstS,sqdB,Cruise,Cruise_Station,Depth_m_,Year,Month,Day,Local_Hour,LatitudeDegN,LongitudeDegE
ERR599030,ERR599030,-0.681481203,-0.781875971,-0.293765736,-0.715969616,-0.066754493,-0.243359306,0.197403319,2.840938302,-0.298642564,1.129693649,3498.329176,0.020963588,0.062113685,0.066492281,0.154519303,0.235061765,0.112663503,0.028021517,1.12985349,1.062185264,2.408641377,0.000321791,1.126587334,1.083514584,1.144122323,1.075508782,1.130001115,0.000987313,0.102863859,0.10243447,4.76E-05,0.104263765,0.101266184,0.194321821,0.110760105,0.000290062,0.110617129,0.000499104,0.097909174,0.097975343,0.109975333,0.000225947,0.000105266,1.148186026,1.1048449,1.225383908,1.052517985,1.021286741,1.031450582,1.102404489,1.186181977,0.961576455,1.19880666,1.085126217,1.312279416,0.933997694,1.156300154,2.349757888,1.18078067,1.130128955,1.191904777,1.109833824,1.115657544,1.345273649,0.05144285,1.130718148,0.000186317,0.000190093,0.00024705,0.405295782,0.001755819,0.091873657,0.004075062,0.126138074,0.121684801,0.001593214,0.000529002,0.001025937,0.000381134,0.007038557,0.444126983,0.000678936,0.015324757,0.001078582,1.04057375,1.08387473,0.001724327,1.148376198,1.081194162,1.14750125,1.126345255,1.14504669,1.179961906,1.259014439,1.158169931,Tara,TARA_138,5,2011,12,10,14:08,6.3332,-102.9432
ERR599035,ERR599035,-0.679600533,-0.871593356,-3.246727867,-1.078285528,-1.365964671,-1.253266398,0.362300154,-0.391225997,-3.500259739,0.867136714,8.824706121,0.00688147,0.007776741,0.007660206,0.002894463,0,0.010708767,0,0.02727009,0.017967574,0.086731165,0,0.095553495,0.074515283,0.160065901,0.875087718,0.09629878,0,0.02208745,0.025868604,0,0.011661383,0.019804436,0.009505372,0.158552244,0,0.002698053,0.103275469,0.010978084,0.044153271,0.015763427,0.039844663,0,0.018699376,0.036713692,0.482454415,0.043058469,0,0.013195717,0.624951659,0.029649414,0.050538043,0.41382856,1.883598812,7.070569391,0.269513555,0.692854397,4.077393433,4.496381994,0.406747609,0.00832542,0.005027659,0.099610325,0.105355255,0.064787881,0.06024532,0.002481783,0,0.011080004,0.008552319,0,0.001245255,0.009789512,0.351561705,0.266039648,0.076322698,0,0.010377479,0,0,0,0.011282767,0,0,0,0,0.003354816,0.0298713,0.214279391,0.063836155,0.023983409,0.830527755,0.030261618,0.013596779,0.241441838,Tara,TARA_082,5,2010,12,6,10:33,-47.1863,-58.2902
ERR599036,ERR599036,-0.681998721,-0.713146276,-0.58063756,-1.246479316,-1.65888364,-0.22321204,4.57503577,1.324587841,-0.413741655,0.972183498,483.6497143,0.009486637,0.038144403,0.039764181,0.07365505,0.213898907,0.061008767,0.011663453,1.170596136,0.966255789,2.717520693,0,1.03455518,0.88917754,1.278225989,0.979063917,1.0981303,0.003151295,0.000482832,0.005237951,0.000508698,0.001337264,0.000652336,0.001234071,0.001859149,0.000274159,0.000195585,0.000754843,0.002818133,0.005932743,0.001037323,0.000471101,0,0.252555747,0.27072192,0.373136178,0.24513368,0.204863601,0.210192971,0.276973119,0.307206976,0.028334554,1.16094091,1.01206823,2.334909474,1.108853185,1.177542064,2.391055056,1.256601212,1.05353241,1.151151732,1.030143043,1.022509522,0.986423575,0.674354435,1.294317039,0.000190188,0,0.000151751,0.01451115,0.003932758,0.225111356,0.000930173,0.875077363,0.855909909,0.002382434,0.000327701,0.00051154,0.000916372,0.008483428,0.002326064,0.001811629,0.001508089,0.002059504,0.844098898,0.621672799,0.027019104,1.058634975,0.950332103,1.048363439,1.125925554,1.12189125,1.141550836,1.29710694,1.105162163,Tara,TARA_124,5,2011,8,4,18:33,-9.1504,-140.5216
ERR599038,ERR599038,-0.678580826,-0.741277318,-0.678323687,-1.228109013,-1.469120942,-0.445269559,4.289853292,1.039427909,-0.574978058,0.964237287,1875.037322,0.007208108,0.046867041,0.036431909,0.060107446,0.146735913,0.054844269,0.007159592,1.054392228,0.959664703,2.692724911,0.000495897,0.992973114,0.791084099,1.199595104,0.969657517,1.060327925,0.0105571,0.003856447,0.004000459,0,0.00186006,0.003076493,0.005618268,0.004683583,0,0.004313836,0.000986224,0.001475002,0.003646774,0.008833247,0.005467495,0.000260736,0.370750816,0.363656705,0.428690919,0.326642696,0.345241816,0.338333387,0.366912665,0.395624803,0.066366128,1.019077681,0.984901925,2.109075434,0.976885731,1.077617325,2.213615484,1.150796782,1.016903291,1.031162345,1.041922928,1.038640517,0.982312756,0.57175705,1.207333243,0.000691732,0.0010544,0.00062109,0.014537178,0.001567262,0.225815147,0.003461164,0.745119239,0.725528677,0.005390848,0.00171609,0.003419924,0.001452917,0.009023726,0.012352135,0.001661176,0.005942659,0.001627257,0.789091296,0.690809282,0.045752308,1.040343011,0.994730023,1.008237191,1.009439821,1.013671663,1.030825998,1.190316463,1.052341781,Tara,TARA_128,5,2011,9,4,18:00,0.0003,-153.6759
ERR599039,ERR599039,-0.681139279,-0.738084571,-0.414322379,-1.217810275,-1.565235027,-0.378548272,3.344534801,0.767081913,-0.496655839,0.955102602,1353.066709,0.006382299,0.045405207,0.022483674,0.052089231,0.13498164,0.038859162,0.008929804,1.056943534,0.879925214,3.180450068,0.000883849,1.03353941,0.864597068,1.231030523,0.895451671,1.06978661,0.017379299,0.002019641,0.004785239,0.000202362,0.00114411,0.002330919,0.004096374,0.002878692,0.000383822,0.001138,0.00041059,0.000603636,0.00626538,0.007477967,0.014093109,0.000563095,0.292439217,0.342710583,0.389936028,0.246793525,0.247963042,0.272499543,0.319683969,0.335385531,0.143993835,1.048084642,1.049815299,1.972032689,0.876040667,1.1234667,2.327802969,1.169381713,1.042631254,1.085313134,1.084484285,1.099748086,1.004826819,0.555274682,1.146480306,0.000452298,0.000213262,0.00043075,0.017471706,0.001607514,0.247412835,0.001044444,0.72475147,0.734896288,0.002736276,0.000455266,0.001730979,0.000986568,0.009293614,0.026315881,0.001269598,0.005569491,0.001234668,0.866392207,0.7057141,0.137223433,1.031368368,1.020682379,1.042357099,1.060812506,1.058649156,1.041090539,1.489083072,1.106077552,Tara,TARA_110,5,2011,5,21,12:27,-2.0133,-84.589
ERR599041,ERR599041,0.70183462,0.966942487,0.089041967,0.062596445,0.30258731,-0.297616406,-0.256474767,-0.699856544,-0.06150131,0.188130541,1074.24097,0,0.000408405,0.000149724,0.000471984,0.001372269,8.48E-05,0,1.181736872,1.202776969,2.42562364,0.000827001,1.190599298,1.160076748,1.123323439,1.208171326,1.157567188,0.002015907,0.250100822,0.28218562,0,0.242054818,0.253064621,0.491384107,0.250526206,0,0.250115928,0.000494997,0.142452152,0.163343911,0.268923933,0.002631629,5.32E-05,1.27706411,1.246093961,1.341695612,1.199248897,1.180621021,1.187575084,1.186213416,1.207455152,1.151866478,1.106163418,1.176930877,1.252213241,6.13E-04,1.170870555,2.387951816,1.091722274,1.180067182,1.163928867,1.137698125,1.236696416,1.673354033,0.000718728,1.222500026,0.42329981,0.342975432,0.406344136,1.514963716,0.138767039,1.15573538,0.943803183,1.307436646,1.295624822,0.988738283,0.499055335,0.973922481,0.06427337,0.912330501,0.964374165,0.02194584,0.308162194,0.517702113,1.408511694,1.314434723,0.003562281,1.165917356,1.197049272,1.140853407,1.196047414,1.281365873,1.22466133,2.189021549,1.190353757,Tara,TARA_032,5,2010,1,11,7:21,23.36,37.2183
ERR599043,ERR599043,2.193798343,1.649168233,-0.046576294,-0.544897257,0.186032589,-0.854503574,-0.223479635,-0.623475693,-0.988902934,0.49592954,521.5647516,0.001527157,0.001569561,0.000842453,0.002463361,0,0.001604345,0.001540401,0.866679041,0.638587843,2.494789769,0.003583417,0.898160523,0.909084887,1.016758766,0.783953256,0.96048337,0.284770616,0.012524068,0.043722357,0.003522672,0.034914594,0.044304414,0.070120115,0.042638394,0.0011864,0.034714049,0.003058562,0.018692731,0.159745396,0.247913941,0.278365541,0,1.120403621,1.11696504,1.864825271,0.682372097,0.674142216,0.670266598,1.220507544,0.887374976,0.631997018,1.009564871,1.077262563,1.547207898,0.00484028,1.136480772,2.425263941,1.310007175,1.011317183,0.983219376,1.012991342,1.006793701,1.145152548,0.012741315,0.720424974,1.019236468,0.659441378,0.604138857,1.21393449,0.648855918,0.663186958,0.706786417,1.058194081,0.996312979,0.950212273,0.292402897,0.677082814,0.661244574,0.701052858,1.535808942,1.0310162,1.789361278,1.068418012,0.94904333,1.459647466,0.286487939,0.941029511,1.23392317,0.957516109,0.924005202,1.350714889,0.895310438,1.044609986,1.019296693,Tara,TARA_025,5,2009,11,23,9:12,39.3888,19.3905
ERR599045,ERR599045,-0.640732469,-0.585413178,-0.151612569,0.766288902,0.348789537,-0.168727084,-0.259207798,0.067772475,-5.10E-05,1.550160754,980.0651963,0.002023946,0.009498168,0.019063001,0.041010382,0.042606222,0.028883344,0.005915648,1.196196192,1.195170545,2.502438401,0.000522104,1.20036836,1.163904415,1.205898473,1.170789618,1.225085127,0,0.38039285,0.391357184,0,0.396593251,0.383752221,0.755984563,0.378926248,0,0.408773805,0,0.11834548,0.124421765,0.386571201,2.87E-05,0,1.29934442,1.279557573,1.358899463,1.242115432,1.186025918,1.222716124,1.195476467,1.243769214,1.17714244,1.221544731,1.18226136,1.246743645,0.019639073,1.203939234,2.485363353,1.233608001,1.198050312,1.2504487,1.23941587,1.245796278,1.661863231,0.000579258,1.210502665,0.007311321,0.012323914,0.009414964,0.484339764,0.004509278,0.207028695,0.058225922,0.242321353,0.21182214,0.058735623,0.035723429,0.059442005,0.000767372,0.055755785,0.887149436,0,0.053506932,0.021157786,0.607682857,1.199127444,0.000280565,1.237799439,1.210169163,1.246608699,1.200138271,1.201386876,1.22125518,1.392384538,1.261447811,Tara,TARA_045,5,2010,4,13,3:21,0.0033,71.6428
ERR599049,ERR599049,0.140139319,0.407394446,-0.126815095,-0.693176017,0.090372626,-0.319309999,-0.247936059,-0.702525539,-0.154386396,0.356305098,667.019535,0.000142212,0.000183726,0,0,4.12E-05,0.000425033,7.05E-05,1.100581076,1.147164454,2.333405235,0.00239347,1.151712543,1.145969944,1.142266582,1.141271459,1.135256908,0.002837314,0.112883575,0.118591775,0.000321259,0.100628235,0.107087996,0.204784895,0.103580977,0.000325794,0.11015,5.55E-05,0.093260172,0.116735509,0.104024381,0.002568261,0.000123744,1.303508069,1.374748977,1.623462116,1.177252616,1.038250451,1.051554548,1.202646497,1.087274144,1.18774107,1.110117555,1.157032846,1.373827747,0.003799977,1.141396422,2.501782311,1.274075015,1.130023191,1.198157851,1.1836579,1.196328951,1.427722561,0.001657658,1.149810459,0.179722979,0.231162326,0.184263509,0.816581089,0.045145244,1.151195856,0.633477657,1.289722123,1.200519205,0.636696494,0.358357136,0.640945215,0.01573,0.599870893,0.811963083,0.001831751,0.135032804,0.247562429,1.071073962,1.149944051,0.001581308,1.103785661,1.203381153,1.177056194,1.17638862,1.332713751,1.102653576,1.657819689,1.171620425,Tara,TARA_033,5,2010,1,13,7:16,21.9467,38.2517
ERR599050,ERR599050,-0.681686502,-0.722622211,-0.59948878,-1.256446213,-0.445127116,-0.464726888,-0.215435933,5.81857633,-0.748144672,1.054097668,1750.214065,0.017609805,0.118206829,0.111490858,0.328918715,0.443564161,0.206660042,0.067728793,0.929944414,1.046459326,2.064201381,0.001242437,1.04141166,0.992590557,0.932670286,0.889237335,1.011029235,0.000642779,0.000659454,0.001835273,0.000299283,0.000583336,0.001404204,0.000541944,0.001261457,3.37E-05,0.000902257,0.000353698,0.040158321,0.045658508,7.68E-04,0.000357601,4.90E-05,0.918241285,0.961103787,1.092342482,0.942229522,0.887577451,0.964519388,0.973426202,0.905528144,0.45693528,1.055566948,1.016806956,1.285324854,0.801568547,1.121647017,2.244884411,1.093287796,1.05401233,1.051790627,1.183917383,1.040774571,1.10170408,0.369925255,1.084676136,0.000185454,0.000115598,0.000328488,0.790968717,0.001413986,0.605936885,0.005418362,0.182033735,0.180505667,0.006131778,0.000269541,0.001444146,0.002621121,0.001976694,0.012294414,0.002989694,0.006059016,0.005614999,0.87932082,1.119092707,0.013332371,1.026995852,1.02594049,1.081197509,0.977762113,1.06664199,0.90022056,1.049052576,1.059730609,Tara,TARA_094,5,2011,3,18,11:57,-32.7971,-87.0693
