SRA_Accession,Sample,Omega_P_High,Omega_P_Med,Omega_P_Low,Omega_N_High,Omega_N_Med,Omega_N_Low,Omega_Fe_High,Omega_Fe_Med,Omega_Fe_Low,Theta,Pro_SCCG,cirA,expD,febB,fepB,fepC,tolQ,tonB,crp1390,PMM0804,isiA,dpsA,fur,futA,futB,futC,isiB,focA,moaA,moaB,moaD,moaE,moeA,narB,moaC,mobA,napA,tauE,cynA,cynS,nirA,unkN1,unkN2,ureA,ureB,ureC,ureD,ureE,ureF,ureG,urtA,dadA,amt1,carA,carB,gdhA,glnA,glnB,glsF,nadB,ntcA,pipX,speA,speB,amtB,thiO,phoA,phoX,PMM707,PMM721,acr3,arsR,chrA,gap1,mfs,phoB,phoE,phoR,ptrA,unkP1,unkP2,unkP3,unkP4,unkP5,PMM719,PMM722,phnD,ppA,ppK,ppX,pstA,pstB,pstC,pstS,sqdB,Cruise,Cruise_Station,Depth_m_,Year,Month,Day,Local_Hour,LatitudeDegN,LongitudeDegE
SAMN15782438,A392013_041_meta,-0.204661331,-0.567900297,-2.603210723,-0.680641479,-0.738260257,0.843424983,-0.265816037,1.133984317,-2.399590735,0.849802246,5.74990044,0.04850264,0.036658776,0,0.034205712,0.002295921,0.04512255,0.02502211,0.189112744,0.110216815,0.453547509,0,0.128914532,0.162451254,0.458526965,2.066860763,0.266514893,0.000190697,0.028574491,0.321481192,0,0.086242324,0.087469072,0.030572125,0.232603777,0,0.018052296,0.024845151,0.014905802,0.197809927,0.034281469,0.004647546,0.039752241,1.490053064,0.312073668,2.89400295,0.162232849,0.23104031,0.095691803,0.576176586,0.369113246,0.078848368,2.242631315,2.5352158,8.671988967,0.221967316,4.319127137,6.271795196,4.325182629,1.068241746,0.089743167,0.039461629,0.39163456,0.234577436,0.6967124,0.167267731,0.049089477,0.155320919,0,0.153801536,0.01857857,0.095126622,0.081642745,1.38661416,0.274123959,0.056779178,0.077632826,0.067932923,0.044464693,0,0.059007233,0.030264804,0.20838319,0.145953081,0.057720865,0.189124537,0.063528333,0.133394797,0.374747359,0.175057215,0.099468932,1.644123904,0.261668129,0.23973034,0.356252011,AE1319,5,1,2013,8,27,12.4,52.9960167,-45.9951833
SAMN15782442,A392013_105_meta,1.088925797,0.189889274,-0.529364124,-0.763336096,0.033164767,0.008544918,-0.265816037,0.243104458,-0.582593478,0.724270722,7.491615068,0.014791951,0.008506242,0.046672226,0.040914196,0.003964829,0,0,1.384070163,0.908951962,2.102508488,0,0.830627821,0.981578928,0.641971639,1.765061606,0.675388005,0.012587172,0.063685472,0.098965862,0,0.082671301,0.063282145,0.101718549,0.16726519,0.009341321,0.004123014,0.013772011,0.030322552,0.156932206,0.083460665,0.00469348,0,2.118980663,1.358112335,3.963196815,0.415116721,0.835294664,0.353816233,1.878941082,0.699468034,0.502864138,1.775777621,1.806311293,4.363376479,0.094596713,1.984843271,4.051325303,2.8013902,1.007811095,0.795265517,0.45270403,0.910456417,0.97943629,0.206109216,0.643588812,0.742126404,0.362450288,0.363584194,0.715917075,0.211644464,0.401712226,0.292965403,1.195386057,0.834697212,0.584795315,0.281420511,0.3680851,0.032065644,0.446231572,0.269348749,0.361576891,0.319572913,0.478966853,0.761741853,1.315376191,0.159996994,1.18182013,0.807149787,0.763626416,0.661999736,1.796363841,0.702749697,1.056571256,1.156531527,AE1319,7,5,2013,8,29,13.68,49.0017167,-40.0028167
SAMN15782443,A392013_138_meta,1.76355214,0.891063751,-0.353272742,-1.06796891,-0.321393909,0.060276644,-0.265816037,-0.47488772,0.079598856,0.550316167,22.31891313,0,0.014166302,0.000156661,0.007324452,0.003893948,0.006081785,0.004084791,1.637305338,0.832704764,2.811221251,0.020437391,1.399355031,0.876635198,1.137240275,0.782980221,1.165016621,0.04239776,0.044288986,0,0,0.002505875,0.00376086,0.055468858,0.027012098,0.005115862,0.006869215,0,0.097295729,0.053584417,0.020301506,0.012918474,0,1.362783277,1.361459344,2.549623974,0.470139901,0.332087316,0.513986306,1.400611141,1.57796792,0.621764999,2.047310551,1.301093818,2.466607739,0.031662355,2.610759257,3.158910631,2.183983111,1.440183776,1.279290832,0.672437852,0.821481476,0.996472392,0.225815185,0.790129331,1.302035121,0.3947685,1.159397558,1.003808909,0.446676647,0.738328455,0.731998382,1.330782266,1.24995676,0.98640387,0.693346151,0.697466978,0.083126589,0.624889743,0.560329811,0.168903883,0.444309711,0.315040993,1.372995977,0.607063567,0.01425634,1.711659557,0.892556376,0.638964647,0.821797837,2.204288182,1.163598152,1.561089445,0.982622669,AE1319,8,5,2013,8,30,11.65,47.00085,-42.5021667
SAMN15782445,A392013_192_meta,1.300281683,0.748949673,-0.616776102,-1.06453184,-0.414268632,-0.050967012,-0.265816037,0.106211053,-0.873658094,0.627906901,11.76934515,0.010602722,0.024781894,0,0.068363846,0.03037856,0.014745045,0,1.171116142,0.775111336,2.036548987,0,0.744891399,1.133764071,0.873565133,1.211056262,0.646277792,0.02971964,0.028262791,0.05990567,0,0.00384622,0.028187618,0.036345137,0.032692869,0,0.037453056,0,0.149349485,0.013969716,0.025016865,0.002509559,0,1.618569658,0.67690773,2.926532965,0.673201271,0.444688442,0.497606588,1.330646674,0.980588177,0.657921536,1.451695886,1.376011167,2.792863337,0.095200753,1.977108898,2.928883558,2.175672478,1.314553063,1.038817986,0.978596631,0.786064179,1.177662311,0.180206211,1.079132584,0.801221969,0.41694172,0.663192505,0.789778959,0.412226168,1.145385844,0.56166523,1.194947881,1.008467223,0.963888353,0.227822687,0.80131766,0.054248606,0.757415986,0.643823497,0.289559788,0.337177059,0.534122709,0.828618511,0.999626938,0.01287504,0.927550899,0.746727848,0.938065693,0.88154023,1.761268116,0.912668518,1.703814367,1.224281632,AE1319,9,5,2013,8,31,12.88,44.9932833,-45.0024333
SAMN15782447,A392013_225_meta,1.170977433,0.720102068,0.371226914,-0.933705777,-0.200625552,0.661729332,-0.265816037,-0.487523275,-0.565696341,0.518291013,9.619407907,0.007562201,0,0,0,0.004117089,0.016254367,0,1.445871548,0.841952011,2.04873188,0,1.236208047,1.077203995,1.073254996,0.903576478,0.855215492,0.024507289,0.185881029,0.071404466,0,0,0.027354859,0.072454532,0.029518513,0,0.06716366,0.005225327,0.019281923,0.088503509,0.034106464,0.008187854,0,1.433433223,0.966050612,3.67085185,0.524857216,0.587238731,0.414010175,1.855083336,1.318024121,0.769160808,2.233387368,1.170995065,2.6004774,0.003684282,2.679817163,4.32059548,2.438009006,1.534368085,1.52598104,0.899009602,1.198349732,1.223273035,0.372727813,0.682741353,0.69459154,0.410485654,0.581232355,1.00619763,0.299016329,0.864704843,0.514275443,1.275077199,1.435849728,0.698232652,0.717506815,0.282049032,0.048817724,0.739748444,0.292068268,0.604942066,0.499568747,0.532828033,1.073890488,1.23415992,0.095836247,1.30210823,1.079715446,1.228237937,0.755311411,2.066260502,1.248993897,1.486868742,2.035575133,AE1319,10,5,2013,9,1,20.07,43.0016833,-47.4985333
SAMN15782449,A392013_247_meta,2.213669421,1.351063097,0.271911229,-0.830778478,-0.359787501,0.431887551,-0.24835991,-0.643545574,-0.358477869,0.29279246,324.9320387,0.000567539,0.004797383,0.000294126,0.002153904,8.80E-05,0.000698005,0.000254272,1.337819404,0.984582404,2.590768771,0,1.177594383,1.066683916,1.144334141,0.878219154,1.099285408,0.001474667,0.073918478,0.103978231,0,0.059558356,0.095421279,0.170479839,0.071379282,0.000323059,0.089303273,0.000223897,0.053582774,0.04926186,0.090245458,0.000450164,0,1.014418778,1.085403103,1.396575527,0.861920791,0.798233642,0.787991449,0.983775903,1.27938063,1.279873004,1.857018281,0.948157564,1.16704157,0.00884363,1.255659463,3.121956187,1.539898468,1.585431948,1.590517849,1.16113316,1.503014571,1.811774426,0.008657547,1.38311722,0.912616576,0.707350206,0.89135051,1.649176909,0.38802301,0.864687824,0.797202627,1.147444892,1.15775932,0.881603553,0.630801939,0.736514889,0.356412759,0.853749692,0.857010713,0.542422246,0.934219025,0.885919269,1.334958706,1.369561802,0.004273533,1.259049258,1.318424452,1.158536211,1.158921879,1.213504235,1.15069407,1.965726919,1.718397437,AE1319,11,5,2013,9,2,17.7,41.00175,-50.0005
SAMN15782450,A392013_269_meta,1.249579211,1.916389388,0.68351181,-0.125880048,0.046800953,0.33586125,-0.265816037,-0.632225722,-0.203569336,0.240133547,180.5317808,0.001255459,0.003991476,0.001226627,0.002412342,0,0,0.000197265,1.384116423,1.106099986,1.998647331,0,1.342778493,1.099563866,1.181378898,1.051146914,1.017195124,0.004014699,0.223163256,0.24881598,0.000615466,0.122557448,0.218801902,0.373051308,0.231266919,0.000948701,0.31221479,0.002036898,0.144801844,0.10796432,0.276567947,0.00718303,0,1.141914261,1.163903077,1.501852564,0.867967019,0.962575978,0.925904701,1.170051345,1.35413186,1.20963942,1.699716852,1.076850968,1.282235013,0.003393057,1.353411105,3.049865295,1.5754896,1.431363487,1.605235879,1.146343366,1.309768042,1.868739189,0.002586261,1.468800322,1.259624671,0.223620328,1.133161263,2.277513738,0.657996708,1.045806636,0.865942121,1.231339654,1.238940187,0.963010668,0.549114857,0.883375617,0.610098197,0.776010262,1.196729008,1.184300739,1.432103076,0.712901283,1.883666696,2.193958547,0.008163684,1.359249623,1.287262671,1.222425217,1.156633888,1.417163373,1.208393892,1.920443638,1.59123289,AE1319,12,5,2013,9,3,18.7,39.0007167,-52.50055
SAMN15782451,A392013_303_meta,1.66162272,2.111109452,1.104202498,0.336664216,0.242562597,0.717906644,-0.265816037,-0.655666532,0.384589051,0.159610967,165.7244342,0.000468682,0,0,0.000346788,0,0.000248829,0.003249138,1.884788097,1.03637611,2.67840462,0.000774565,1.509443672,1.263699856,1.380260898,1.029850437,1.292865334,9.92E-05,0.370669481,0.380612358,0,0.236634082,0.296717843,0.51017113,0.286198239,0,0.359704042,0.002506232,0.256869986,0.220870289,0.387930658,0,0,0.996325692,1.434051183,1.876390923,0.808424425,0.67448712,0.801796096,1.183114692,1.779115868,1.21602251,2.359927733,1.186973032,1.488453659,0.001056977,1.765434607,3.531780501,1.67233207,1.672227102,1.905264801,1.261310461,1.268830439,1.911871693,0.002376465,1.087848273,1.519545938,0.274656835,1.232845973,2.037198642,0.595246469,1.07695585,0.943170748,1.500070967,1.54552585,0.946958468,0.995205379,0.838495357,0.444833742,1.065968369,1.273557064,1.455900471,1.332094312,0.787351676,1.767014828,2.147302174,0.004709675,1.983027162,1.112608329,1.279409086,1.491619192,1.637708101,1.577671464,1.980711101,1.778402468,AE1319,13,5,2013,9,4,20.98,37.0045167,-55.0018333
SAMN15782452,A392013_325_meta,1.29763305,1.719652454,0.495002288,0.097048714,0.058805236,0.343945167,-0.265816037,-0.680505112,-0.298356868,0.21378131,206.7273875,0.000830493,0,0,0.001050241,0.002139263,0.001130363,0,1.429506528,1.069590778,2.093197334,0,1.352771666,1.064835904,1.139454934,0.901544258,1.060224436,0.000981248,0.280054344,0.289807325,0.000729432,0.190535417,0.244400933,0.530331786,0.262447781,7.13E-05,0.309125971,0,0.16214049,0.142133479,0.270007554,0,0,1.227106726,1.303885652,1.405989848,0.878297835,0.972880998,0.889291332,1.020551099,1.376872035,1.261947049,1.669956806,0.968745294,1.274098299,0.001051124,1.348087265,3.02604516,1.521282737,1.489366909,1.495949077,1.242318508,1.371859797,2.05551764,0.002329065,1.34446311,1.187792597,0.268532098,1.095943562,2.112050748,0.470365296,1.039715275,0.841435876,1.202277918,1.23259361,0.986619751,0.527404042,0.829503917,0.528689659,0.754009413,0.969847537,1.058090558,1.397100776,0.748669825,1.69373002,1.974581429,0.005473397,1.270660241,1.266433433,1.189623608,1.157227555,1.335192216,1.155009553,1.89401503,1.606036203,AE1319,14,5,2013,9,5,18.13,35.0006167,-57.5049
SAMN15782453,A392013_360_meta,1.430889147,1.719661982,0.886883631,0.015288693,0.011570812,0.498258743,-0.247247391,-0.626818569,-0.098601753,0.209641575,445.9698895,0.001280924,0.005864064,0,0.000183279,6.91E-05,0.001995727,0.000351358,1.856338889,0.937584775,2.393262019,0,1.392520204,1.004956632,1.259714718,0.971387531,1.04003531,0.007828394,0.258789717,0.321383295,0.000195757,0.166326869,0.204925354,0.433759035,0.232618262,8.26E-05,0.344006864,0.003609635,0.215572431,0.196418747,0.293532347,0.006408385,0,0.95975045,1.224386998,1.842580959,0.77091664,0.623640316,0.711992898,1.097412078,1.567732184,1.052575116,2.087816211,1.107245032,1.395039382,0.002810421,1.766151359,3.226457644,1.596378769,1.633246432,1.833172766,1.094508954,1.32805625,1.976922776,0.005681485,1.074758656,1.423165701,0.227323927,1.117661337,1.711331629,0.558806073,1.072179424,0.838731288,1.384411953,1.44680872,0.911096973,0.67079079,0.741792593,0.376198666,0.897513652,1.01270717,1.36899816,1.06797287,0.703207005,1.713705482,1.922770803,0.008706593,1.812284885,1.124426851,1.156050341,1.319379571,1.569875533,1.522217703,2.02874651,1.893156888,AE1319,15,5,2013,9,6,17.65,33.00055,-60.0001
SAMN15782454,A392013_424_meta,1.431400037,1.798249765,0.942289659,-0.189365207,0.181750822,0.596617366,-0.265816037,-0.642907186,0.065584603,0.204499229,162.9987128,4.03E-04,0.004526079,0.000357519,0.004090012,0.000269968,0,0.000209744,1.813279583,0.987496918,2.347810357,0,1.566494923,0.974693203,1.337272325,0.998420454,1.171299458,0.00912853,0.217553069,0.199295123,0,0.155546685,0.198864756,0.391031481,0.194187198,0,0.283593024,0,0.22173973,0.212570075,0.229469054,0.000172574,0.00077905,1.162170792,1.528632372,1.889844321,0.809477182,0.817689242,0.785944717,1.143645118,1.657259928,1.257441691,2.082652762,1.194757094,1.427075262,0.006691752,1.836576074,3.071632907,1.560110467,1.605921303,1.740177658,1.092269289,1.374196872,1.988285452,0.002122262,1.276315564,1.483390135,0.204539554,1.31132559,1.898795855,0.51108157,0.966484259,0.903577618,1.437903783,1.575296381,0.761533276,0.741079391,0.824516895,0.428311701,0.981039726,1.055332611,1.247856288,1.293195705,0.525532916,1.927472203,1.933925544,0.000741377,1.681526989,1.219625595,1.259668349,1.397891044,1.550073354,1.492641396,1.953128594,1.727837292,AE1319,16,5,2013,9,9,14.8,31.6680333,-64.1715333
SAMN15782456,AMT2018_003_meta,-0.557352225,-0.408358458,-1.415055338,-0.781074236,-0.634957278,-0.609398326,-0.265816037,1.897521481,0.086086599,0.867408195,6.787619054,0.004253537,0.051275597,0,0.012418373,0.044084667,0.271112178,0.047849816,0.838858394,0.314454608,2.28897433,0.059447763,0.72989377,0.931343854,0.760580504,1.559367013,0.646464967,0.092402502,0.036164172,0.03392987,0,0.029512614,0.023096405,0.123220994,0.129744823,0.00976754,0.005783109,0,0.01312305,0.376944925,0.022717756,0.045793645,0,1.255440542,0.549469425,2.061017623,0.116517448,0.174500725,0.266561198,1.123458055,1.078064547,0.3004165,1.497498724,2.145319363,4.663644089,0.162836296,2.418011479,2.031191128,1.791218895,0.875194831,0.488990476,0.450578173,0.959682818,0.705255146,0.203239424,0.276508424,0.020435261,0.037707259,0.065328515,0.323744983,0.004954619,0.048181533,0.083329245,1.792960481,0.630537766,0.242227444,0.038074077,0.100842406,0.080933863,0.167255365,0.091202469,0.021665745,0,0.178287301,0.673994785,0.5840719,0.099972674,0.473300727,0.888465645,0.354864811,0.464709839,2.251140637,0.736708409,0.682607199,0.402267311,AMT28,2,7,2018,9,26,5,48.4693833,-8.83655
SAMN15782457,AMT2018_005_meta,-0.367689274,-0.423906235,-0.502288719,-0.947295831,-0.405141287,-0.501479832,-0.265816037,1.022419377,-0.695103159,0.870111914,11.322873,0.017741225,0.06342359,0.014513601,0.035642543,0.008938555,0.049014311,0.028558284,0.971081087,0.528656352,3.707383624,0,1.081170329,0.846717398,1.105421053,1.046452141,0.84019117,0.066043929,0.087802116,0.028011594,0,0.031187856,0.036938276,0.009388575,0.076868333,0,0.001363966,0,0.043267902,0.153162032,0.014252874,0.112787147,0.010093349,0.900073607,1.036140494,2.384748726,0.413930515,0.381902137,0.726814432,0.747865475,1.005608364,0.253932393,1.438915139,1.498456261,2.511626417,0.169151184,1.540321784,3.12423826,1.786229334,1.065980899,1.049365597,0.480589324,0.922654811,1.20329863,0.26557786,0.617971455,0.061555713,0.091148414,0.042943035,0.311196403,0,0.598372191,0.148562259,1.067812439,0.984540249,0.081805848,0.162931802,0.144801644,0.023847183,0.109222719,0.07359734,0.013763658,0.041462367,0.008411125,0.204378188,0.759251168,0.528662832,0.643150632,0.801199329,0.588697782,0.99622726,1.830256868,0.509070968,0.830577361,0.975768077,AMT28,3,7,2018,9,26,14,47.9012333,-10.3814
SAMN15782458,AMT2018_007_meta,-0.567043961,-0.157481197,-0.424264823,-1.181497795,-0.081484516,-0.498015466,-0.220124715,0.393202452,-0.356603191,0.852629069,251.7815533,0.004809683,0.006152236,0.021876736,0.034010507,0.087774937,0.070084754,0.006885406,1.436158589,0.832915816,3.071205591,0.000963891,1.202792079,1.040667384,1.06605303,0.882165324,1.09289494,0.015825818,0.005191974,0.018029097,0,0.012515776,0.008272194,0.018310557,0.00612099,0.000833837,0.005412874,0.003425326,0.178293569,0.186768149,0.00649729,0.007686434,0.001462593,1.217017046,1.413325391,1.67765852,0.635617323,0.737891164,0.764351147,1.124205622,1.473262107,0.483157398,1.730634083,1.007206347,1.487079494,0.137589707,1.526574452,2.472260261,1.334102673,1.309190153,1.12658255,0.848838635,0.968864354,1.277259521,0.050288368,0.873203577,0.08317115,0.010246495,0.07668217,0.426657489,0.025433002,0.819935718,0.227911308,1.300992434,1.245112373,0.270374076,0.297386838,0.197415788,0.006454329,0.269096851,0.179624718,0.008045606,0.164044084,0.017931599,0.689865217,0.93453143,0.044599468,1.359259207,0.904413248,0.903990971,1.063430047,1.535089145,1.13823046,1.488805899,1.104891107,AMT28,4,7,2018,9,27,5,46.0290833,-12.732517
SAMN15782459,AMT2018_009_meta,-0.287486091,0.125353618,-0.432156542,-1.168529377,-0.1512034,-0.460418449,-0.242763577,0.113319897,-0.187519316,0.737793725,284.7609524,0.001938546,0.009373187,0.014734479,0.033197615,0.065200501,0.026862828,0.012786253,1.509477974,0.91343725,3.254723244,0,1.2973789,1.091829832,1.134034672,0.848476586,1.126476809,0.007627974,0.004469448,0.019615957,0.001114831,0.016161834,0.014598849,0.024700014,0.022277006,0,0.010810847,0.00126812,0.158906255,0.179477234,0.022847603,0.011355047,0,1.094357778,1.288814849,1.45155039,0.667957218,0.750839926,0.77219094,1.121392854,1.449244883,0.592540327,1.61106361,0.953101577,1.266616506,0.112560297,1.500034132,2.322359853,1.256168592,1.37733374,1.196890472,0.83215537,1.094934395,1.476913314,0.030423474,0.879133556,0.261979043,0.043934819,0.232909414,0.590411484,0.046600595,0.868730615,0.423129037,1.260184303,1.270801625,0.528831274,0.495899782,0.385714148,0.008141514,0.442408537,0.282735059,0.021138379,0.254167484,0.045500841,0.663025281,0.765430856,0.056915025,1.30329509,0.976030244,0.910634849,1.141835967,1.320414527,1.204271377,1.53708147,1.111824222,AMT28,5,7,2018,9,27,14,44.96505,-13.59395
SAMN15782460,AMT2018_011_meta,-0.363736736,0.079291176,-0.561121175,-1.200205956,-0.154341026,-0.539358665,-0.245866891,0.409825919,-0.365379263,0.781943802,395.4235411,0.005419742,0.011095078,0.031069338,0.037494756,0.079590474,0.044577892,0.007720093,1.302081381,0.929536204,2.823245705,0.000872556,1.212553665,1.13401885,1.084772238,0.815954617,1.09462078,0.006671727,0.006156333,0.009758109,0.000341205,0.009300137,0.008191846,0.016436192,0.013414798,3.26E-05,0.013115049,0.000314444,0.14883675,0.150306389,0.013332268,0.008639635,0,1.199949926,1.136310667,1.309121264,0.768391625,0.832219032,0.817975818,1.133942987,1.373921355,0.564501543,1.503607307,0.959003887,1.184776698,0.110885336,1.29515205,2.356519118,1.246806093,1.22933813,1.221803455,1.018744857,1.034176575,1.259280506,0.019394879,0.999186373,0.235745414,0.026150198,0.215619534,0.625183218,0.029231574,0.905872574,0.452924436,1.209703904,1.117089234,0.48112962,0.408265952,0.416874751,0.014905118,0.372889472,0.211828321,0.016345095,0.343850628,0.054932411,0.621915306,1.018503136,0.037380039,1.228515663,0.944813721,0.960914543,1.072569559,1.102744611,0.97095323,1.535354324,1.109715288,AMT28,6,7,2018,9,28,5,42.9670333,-15.213067
SAMN15782461,AMT2018_013_meta,-0.160505131,0.341445513,-0.497821613,-1.153196214,-0.119495403,-0.475380668,-0.265816037,-0.128743762,-0.370012785,0.613192068,333.6543706,0.002189057,0.012429206,0.008956409,0.015536761,0.033907937,0.027591983,0.006766987,1.423882624,0.954582206,2.650455926,0,1.104203366,1.041904273,1.112556643,0.888822615,1.163867382,5.92E-05,0.008822141,0.031067049,0,0.022330345,0.018653324,0.046612169,0.019024887,0,0.026856156,0,0.203983671,0.138569245,0.031533525,0,0,1.033766743,1.191515988,1.328964346,0.80509714,0.957641125,0.833180087,1.093435062,1.333202005,0.66709684,1.456664444,1.016059299,1.150056989,0.074069119,1.387668261,2.421051047,1.205948689,1.299415159,1.14244991,1.034196,1.018673911,1.444660768,0.003679789,1.001560578,0.396293752,0.038984899,0.390356276,0.674355761,0.05760624,1.027906698,0.658790939,1.184668501,1.233182889,0.682886731,0.526764188,0.558089936,0.016795519,0.676174855,0.230474456,0.025153582,0.409375669,0.080407899,0.550247524,1.02478999,0.004220628,1.305890241,0.95833572,0.999587322,1.112236306,1.185727096,1.090213224,1.631939957,1.135291045,AMT28,7,7,2018,9,28,14,41.9084,-16.0483
SAMN15782462,AMT2018_015_meta,0.260539979,0.548402669,-0.4643384,-0.998569199,-0.048272033,-0.508131565,-0.247185984,-0.241981033,-0.336367945,0.514233518,309.6558891,0.002054111,0.013250002,0.009868839,0.011148205,0.016328143,0.019914579,0.004241451,1.412547598,1.010688887,2.627045138,0,1.20949578,1.008828258,1.069604133,0.905500393,1.165541151,0,0.021088359,0.052524906,0.000589492,0.059723802,0.047540021,0.130148502,0.04550385,0.000202209,0.052862167,0.000358821,0.19405653,0.155883586,0.056588999,0.000131719,0.000266553,1.168794475,1.275938856,1.306827247,0.79085793,0.939312759,0.861424244,1.179303686,1.297807434,0.76606967,1.406117232,0.992023168,1.159448732,0.029483514,1.34889235,2.41919353,1.213706111,1.226422647,1.106587139,1.070116386,1.035877728,1.46730021,0.00673203,0.963115789,0.66639271,0.089420222,0.541013816,0.632507597,0.082827016,0.903751578,0.829608751,1.215718265,1.198820958,0.87762317,0.608121065,0.858052079,0.024241874,0.716706431,0.353291552,0.057397967,0.51165567,0.127720261,0.79871277,1.07818499,0.003155594,1.262675479,0.983048492,0.975301998,1.10081466,1.227441568,1.039853092,1.634638013,1.064247917,AMT28,8,7,2018,9,29,5,39.7193333,-17.71615
SAMN15782463,AMT2018_017_meta,0.569030526,0.716802968,-0.504267859,-0.895371644,-0.043544203,-0.489436475,-0.265816037,-0.464525847,-0.481015415,0.466820225,276.7232996,0.000197025,0.007254008,0.003912755,0.004139853,0.010284586,0.013945723,0.003088648,1.126771341,0.891619549,2.662771153,0,1.148283265,1.070141389,1.067294441,0.873485512,1.208800032,0.000847956,0.042727563,0.067660484,0,0.095845322,0.072804332,0.12852597,0.053008635,0.000559028,0.085927414,0,0.201185075,0.187677311,0.086774834,0.000106734,0,1.086965859,1.214963551,1.3583174,0.834862272,0.856333067,0.877143086,1.106095697,1.352508238,0.793896232,1.421301163,1.024970165,1.16677283,0.007228213,1.325447504,2.303072361,1.205914819,1.273987458,1.208834719,0.996004504,1.065188493,1.494951698,0.003470447,0.950622202,0.837176749,0.136713869,0.792109624,0.925421515,0.153927949,0.943990531,0.948755626,1.150300498,1.236299531,0.947879748,0.545304982,0.839180549,0.039446391,0.855089502,0.316092784,0.073093131,0.632053582,0.177401955,0.735691808,0.938309336,0.001124268,1.323714778,1.005554195,0.972263087,1.016606523,1.16322552,1.044974812,1.999698376,1.048307174,AMT28,9,7,2018,9,29,15,38.49585,-18.626683
SAMN15782464,AMT2018_019_meta,0.793639286,0.820212337,-0.577029039,-0.724367529,-0.049027702,-0.567447396,-0.265816037,-0.619667086,-0.248689482,0.428962537,146.5336729,0,0.001722819,0.00237819,0.007207859,0.000773278,0.002825899,0.000466624,1.455505678,1.036271361,2.628720619,0,1.171715833,1.004728248,1.128931186,0.96477097,1.199510482,0.002244859,0.044629382,0.110168769,0.000785344,0.108782704,0.125974553,0.230103469,0.075868459,0.000402173,0.120746638,0.000794371,0.238672589,0.171823496,0.137234373,0,0,1.16487266,1.197161285,1.275617104,0.786075464,0.774864896,0.888085082,1.038967741,1.31962613,0.770934323,1.502010404,1.015196501,1.225106218,0.002837376,1.285799721,2.212207359,1.148711897,1.25546669,1.196576678,0.884805488,1.036578528,1.458874725,0.00216105,0.937176579,0.992538661,0.159317943,0.81429468,1.027831854,0.173343048,1.056826997,0.966285184,1.2040178,1.278209885,0.873837642,0.595879329,0.895975085,0.049386964,0.79291267,0.342883971,0.101965528,0.794039952,0.213402064,0.722129989,0.950937084,0.001095691,1.253769077,0.927932774,0.906894273,1.039046042,1.172974557,1.066254487,2.052529274,1.024344989,AMT28,10,7,2018,9,30,5,36.4139167,-20.12145
SAMN15782465,AMT2018_021_meta,1.012876452,0.72827354,-0.375287328,-0.660993528,-0.06916628,-0.410602014,-0.265816037,-0.58065158,-0.044450427,0.369556292,252.086644,0.000253206,0.00045697,0.000822968,0.008653191,0.003019899,0.002760465,0.004125114,1.770587506,0.891862147,2.98487671,0,1.366552431,1.094924085,1.24701312,0.859992981,1.173202065,0.001396241,0.074183535,0.09925239,0,0.130899209,0.126262059,0.197410219,0.11699877,0,0.157971932,0,0.260626947,0.164045199,0.166468823,0,0,1.034297847,1.293638683,1.48591711,0.652436323,0.706622267,0.788920311,1.030328583,1.541998866,0.80113061,1.62848296,0.920387564,1.247127902,0.00698873,1.59217366,2.358797152,1.231955659,1.397013966,1.214570535,0.853065122,1.017240503,1.659321431,0.004491601,0.910661467,1.053750552,0.21587461,0.820684771,0.791138109,0.185929824,0.995966239,0.839005328,1.329660531,1.304430679,0.856505433,0.650690068,0.7237615,0.049983987,0.887893477,0.353289339,0.117589703,0.49568749,0.192961977,0.895328662,0.704376568,0.001660319,1.493594822,0.928421541,0.919641141,1.117047974,1.330268121,1.228027006,2.038305118,1.129223948,AMT28,11,7,2018,9,30,14,35.2827333,-20.923433
SAMN15782466,AMT2018_023_meta,1.523907683,1.523513554,0.088176719,0.601803817,0.258108661,-0.16998712,-0.265816037,-0.621720889,0.11841662,0.186535158,253.3125026,0.000455061,0.002235091,0,0.002581378,0.010418609,0.002048459,0.001580202,1.622348,1.130219453,2.882344441,0,1.310949199,1.141335386,1.203906276,1.075975888,1.192022828,0.000259717,0.372671816,0.314180539,0.000657949,0.302978489,0.34931926,0.74426625,0.366168835,0,0.433513833,0.001107025,0.297647665,0.218634621,0.449673197,0.000322034,0.000463697,1.070411101,1.186238711,1.480092336,0.816970154,0.840737212,0.888764016,1.188149659,1.433637143,0.826215369,1.624420317,1.173205832,1.411092653,0.002345508,1.5999134,2.632600774,1.2301819,1.31117051,1.390735004,1.00106332,1.096987313,1.742969997,0.00264542,1.036048422,1.23074287,0.334618939,0.994615182,1.654596281,0.435320037,1.022557513,0.975630345,1.301573394,1.352842946,0.957037055,0.589196028,0.905957354,0.321077275,0.872287591,0.853101163,0.909519333,1.097519955,0.619600557,1.423875621,1.377812784,0.001924616,1.54573666,0.979464956,1.045635779,1.198271918,1.449519563,1.288402523,1.746072018,1.19304325,AMT28,12,7,2018,10,1,5,33.0468833,-22.1368
